STATE,ST_CASE,VE_TOTAL,PEDS,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,LATITUDE,LONGITUD,MAN_COLL,WEATHER,SCH_BUS,ARR_HOUR,ARR_MIN,CF1,CF2,CF3,FATALS,DRUNK_DR
48,481672,1,0,2,361,0,18,8,2011,5,1,35,0,30.18076667,-94.01783056,0,1,0,1,48,0,0,0,1,1
48,481673,1,0,1,405,0,19,8,2011,6,16,5,0,31.48214722,-94.13703889,0,1,0,99,99,0,0,0,1,0
48,481674,2,0,2,183,0,20,8,2011,7,3,37,1,32.44124444,-94.73388333,2,1,0,88,88,0,0,0,2,1
48,481675,1,0,2,217,0,20,8,2011,7,20,22,0,99.9999,999.9999,0,1,0,20,51,0,0,0,2,1
48,481676,2,0,2,363,0,20,8,2011,7,0,34,1,32.53288333,-98.31969722,1,1,0,88,88,0,0,0,1,0
48,481677,1,0,1,423,0,20,8,2011,7,23,10,0,32.22231389,-95.35105,0,1,0,88,88,0,0,0,1,1
48,481678,1,0,1,41,970,21,8,2011,1,9,41,1,30.69833889,-96.36054722,0,1,0,88,88,0,0,0,1,0
48,481679,1,0,3,113,1730,21,8,2011,1,2,34,0,32.86298333,-96.68326111,0,1,0,2,42,0,0,0,1,0
48,481680,1,0,2,373,0,21,8,2011,1,12,27,1,30.61918889,-94.94710833,0,1,0,99,99,0,0,0,1,0
48,481681,1,0,4,453,330,21,8,2011,1,18,10,1,30.36771944,-97.74263611,0,1,0,18,18,0,0,0,2,0
48,481682,2,0,5,477,880,21,8,2011,1,1,34,1,30.12879722,-96.39376944,6,1,0,1,40,0,0,0,4,2
48,481683,2,0,2,29,6090,22,8,2011,2,18,7,0,29.546825,-98.66753333,6,1,0,18,39,0,0,0,1,0
48,481684,2,0,4,505,0,22,8,2011,2,15,16,1,26.81193889,-99.15204167,2,1,0,99,99,0,0,0,2,0
48,481685,1,0,1,85,2320,23,8,2011,3,15,30,0,33.14734444,-96.35419722,0,1,0,88,88,0,0,0,1,0
48,481686,1,0,1,141,0,23,8,2011,3,17,37,1,31.67065833,-106.2487583,0,1,0,17,48,0,0,0,1,0
48,481687,2,0,3,483,0,24,8,2011,4,11,10,1,35.22718056,-100.4225056,6,1,0,11,48,0,0,0,1,0
48,481688,2,0,2,225,0,25,8,2011,5,17,30,0,31.51471111,-95.47855556,1,1,0,18,9,0,0,0,1,0
48,481689,3,0,4,71,4728,26,8,2011,6,8,30,0,29.85750278,-94.89513056,6,1,0,8,53,0,0,0,2,0
48,481690,5,0,5,423,0,26,8,2011,6,20,50,0,32.39920556,-95.37966389,6,1,0,21,7,0,0,0,1,1
48,481691,1,0,2,141,0,27,8,2011,7,2,14,0,31.72615,-106.2370111,0,1,0,2,29,0,0,0,1,1
48,481692,1,0,1,171,0,27,8,2011,7,21,55,0,30.33321389,-98.79668056,0,1,0,88,88,0,0,0,1,0
48,481693,1,0,1,423,0,27,8,2011,7,0,15,0,32.14750278,-95.14461111,0,1,0,88,88,0,0,0,1,1
48,481694,1,0,2,435,0,27,8,2011,7,15,42,1,30.64960833,-100.645075,0,1,0,15,48,0,0,0,1,0
48,481695,2,0,3,113,2800,28,8,2011,1,13,17,0,32.69171667,-97.02388333,6,1,0,13,26,0,0,0,1,0
48,481696,3,0,9,283,9997,28,8,2011,1,3,21,1,28.47626389,-99.22824722,2,1,0,3,55,0,0,0,1,1
48,481697,2,0,2,409,6400,31,8,2011,4,19,0,0,28.03662222,-97.49410556,2,1,0,88,88,0,0,0,1,0
48,481698,1,0,1,35,0,24,8,2011,4,11,55,0,31.83605278,-97.36371944,0,1,0,88,88,0,0,0,1,0
48,481699,1,0,2,397,6010,28,8,2011,1,7,6,1,32.977275,-96.31146389,0,1,0,88,88,0,0,0,2,0
48,481700,4,1,3,245,490,31,8,2011,4,17,3,1,30.06225556,-94.13468333,1,1,0,17,8,23,14,0,1,0
48,481701,1,0,3,439,4300,16,4,2011,7,2,33,1,32.58414722,-97.08028611,0,1,0,2,53,0,0,0,1,1
48,481702,1,0,2,141,9997,22,4,2011,6,17,53,1,31.61249444,-106.2026028,0,1,0,18,6,0,0,0,1,0
48,481703,1,0,1,91,0,15,5,2011,1,15,40,0,29.75610556,-98.13941111,0,1,0,15,46,0,0,0,1,0
48,481704,1,1,2,29,6090,18,6,2011,7,21,32,1,29.43569167,-98.70994722,0,1,0,99,99,0,0,0,1,0
48,481706,1,0,2,201,3280,17,7,2011,1,1,37,1,29.84151944,-95.185075,0,1,0,2,3,0,0,0,1,1
48,481707,1,1,1,439,2450,27,7,2011,4,7,40,0,32.81474167,-97.13291389,0,1,0,7,46,0,0,0,1,0
48,481708,3,1,2,439,2450,29,7,2011,6,1,15,1,32.66378333,-97.28969722,0,1,0,88,88,0,0,0,1,1
48,481709,2,0,2,37,6850,8,8,2011,2,19,21,1,33.43683056,-94.08251389,6,1,0,19,24,0,0,0,1,0
48,481710,1,0,1,133,0,16,8,2011,3,3,50,0,32.24059167,-98.61372222,0,1,0,88,88,0,0,0,1,1
48,481711,3,0,5,415,0,18,8,2011,5,19,29,0,32.68543889,-100.8815278,6,1,0,88,88,14,0,0,2,1
48,481712,1,0,2,441,0,18,8,2011,5,6,58,0,32.43434444,-99.994725,0,1,0,99,99,0,0,0,1,0
48,481713,2,0,2,39,0,26,8,2011,6,13,5,0,29.12439444,-95.67065,6,1,0,13,16,0,0,0,1,1
48,481714,1,0,4,375,0,26,8,2011,6,16,40,1,35.30903056,-101.8333472,0,1,0,16,52,0,0,0,1,0
48,481715,2,0,3,241,0,28,8,2011,1,15,11,0,31.01200556,-94.19656389,99,1,0,15,39,0,0,0,1,0
48,481716,1,0,1,423,7070,28,8,2011,1,0,18,0,32.294425,-95.27895278,0,1,0,0,28,0,0,0,1,1
48,481717,1,1,1,223,0,30,8,2011,3,6,2,0,33.12752778,-95.545625,0,1,0,99,99,0,0,0,1,0
48,481718,1,0,2,267,0,30,8,2011,3,15,29,1,30.42976667,-99.69436111,0,1,0,15,49,0,0,0,1,0
48,481719,1,0,1,13,0,31,8,2011,4,16,28,0,29.22853056,-98.752225,0,1,0,88,88,0,0,0,1,0
48,481720,2,0,3,91,0,31,8,2011,4,20,35,1,29.85529167,-98.1462,6,1,0,99,99,0,0,0,1,1
48,481721,4,0,6,245,5430,3,2,2011,5,19,46,1,29.94765278,-93.94979722,6,3,0,88,88,0,0,0,1,0
48,481722,1,1,1,439,2450,18,3,2011,6,20,47,1,32.73475556,-97.41820833,0,98,0,88,88,0,0,0,1,0
48,481723,2,0,6,479,3899,23,3,2011,4,0,16,1,27.52907222,-99.45598889,2,1,0,0,23,0,0,0,1,0
48,481724,3,0,3,149,0,31,3,2011,5,17,33,0,30.06098889,-96.69961111,1,1,0,17,55,0,0,0,1,0
