STATE,ST_CASE,VE_TOTAL,PEDS,PERSONS,COUNTY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,LATITUDE,LONGITUD,MAN_COLL,WEATHER,SCH_BUS,ARR_HOUR,ARR_MIN,CF1,CF2,CF3,FATALS,DRUNK_DR
1,10001,1,0,8,115,6,1,2013,1,0,55,1,33.79196389,-86.38370278,0,10,0,1,7,0,0,0,2,0
1,10002,2,0,2,55,3,1,2013,5,21,24,1,33.98466111,-85.88830556,6,10,0,21,33,0,0,0,1,0
1,10003,1,0,1,89,6,1,2013,1,11,45,0,34.74946667,-86.62147222,0,10,0,11,54,0,0,0,1,0
1,10004,1,0,3,73,6,1,2013,1,12,25,0,33.48591389,-86.85701111,0,1,0,12,33,0,0,0,2,0
1,10005,2,0,3,125,6,1,2013,1,18,28,1,33.16855556,-87.55183056,1,1,0,18,29,0,0,0,1,0
1,10006,2,0,3,97,8,1,2013,3,14,31,1,30.66167778,-88.10793333,6,1,0,14,32,0,0,0,1,0
1,10007,1,0,1,95,11,1,2013,6,21,30,0,34.27086944,-86.22073056,0,2,0,21,38,0,0,0,1,0
1,10008,2,0,2,49,14,1,2013,2,14,49,0,34.56107222,-85.79985833,2,2,0,14,55,0,0,0,1,0
1,10009,1,0,1,17,5,1,2013,7,16,21,0,33.01001944,-85.29138889,0,10,0,88,88,0,0,0,1,1
1,10010,2,0,4,51,5,1,2013,7,17,34,0,32.577275,-85.97061111,6,10,0,17,45,0,0,0,1,0
1,10011,2,0,3,1,5,1,2013,7,23,29,0,32.60146111,-86.464275,2,10,0,23,40,20,0,0,1,1
1,10012,1,1,1,9,7,1,2013,2,5,44,0,34.0154,-86.577525,0,1,0,6,15,0,0,0,1,0
1,10013,1,0,2,43,7,1,2013,2,7,20,1,34.05400556,-86.86635278,0,1,0,7,33,0,0,0,1,0
1,10014,1,0,1,95,7,1,2013,2,16,5,0,34.40834722,-86.45794167,0,1,0,16,22,0,0,0,1,0
1,10015,1,0,1,115,9,1,2013,4,20,0,0,33.89639444,-86.11083333,0,10,0,20,15,0,0,0,1,1
1,10016,2,0,3,19,10,1,2013,5,17,55,1,34.37740278,-85.61305556,0,2,0,18,21,0,0,0,1,0
1,10017,2,0,2,7,10,1,2013,5,5,50,0,33.11385278,-87.21756944,2,10,0,6,10,0,0,0,1,0
1,10018,2,0,2,81,11,1,2013,6,10,21,0,32.61271667,-85.35630278,6,10,0,10,29,0,0,0,1,0
1,10019,1,0,1,89,13,1,2013,1,6,11,0,34.745875,-86.60852222,0,2,0,6,18,0,0,0,1,0
1,10020,1,0,1,21,14,1,2013,2,21,5,0,32.94323333,-86.58768611,0,2,0,21,20,0,0,0,1,1
1,10021,1,0,1,69,15,1,2013,3,0,5,0,31.09600833,-85.31093889,0,1,0,0,21,0,0,0,1,1
1,10022,1,0,1,101,15,1,2013,3,10,35,1,32.07763611,-86.06317778,0,10,0,11,10,0,0,0,1,0
1,10023,1,0,1,63,16,1,2013,4,18,30,0,32.88518333,-88.05531667,0,2,0,18,50,0,0,0,1,0
1,10024,2,0,3,117,16,1,2013,4,11,20,0,33.20557222,-86.73752222,6,2,0,11,26,0,0,0,1,0
1,10025,1,0,1,33,17,1,2013,5,5,50,0,34.81996389,-87.96168056,0,2,0,6,20,0,0,0,1,0
1,10026,2,0,3,117,19,1,2013,7,14,40,0,33.1775,-86.863325,2,1,0,14,45,0,0,0,1,0
1,10027,1,0,1,47,19,1,2013,7,22,45,0,32.30388889,-86.86056111,0,1,0,23,25,0,0,0,1,1
1,10028,1,0,1,123,28,1,2013,2,11,37,1,32.90617778,-85.90101944,0,1,0,11,46,0,0,0,1,0
1,10029,2,1,2,33,3,1,2013,5,20,14,1,34.7443,-87.63519167,0,10,0,21,19,0,0,0,1,0
1,10030,3,0,7,101,8,1,2013,3,22,22,1,32.3273,-86.33465556,6,1,0,22,29,0,0,0,1,0
1,10031,1,0,2,89,12,1,2013,7,1,23,1,34.82805833,-86.61813333,0,2,0,1,29,0,0,0,1,1
1,10032,1,0,1,131,18,1,2013,6,22,45,0,32.12609167,-87.30957222,0,1,0,23,15,0,0,0,1,1
1,10033,1,0,2,1,19,1,2013,7,1,25,0,32.53877778,-86.47231111,0,1,0,1,40,0,0,0,2,0
1,10034,3,0,3,31,19,1,2013,7,12,45,0,31.37618333,-85.87130556,1,1,0,12,50,0,0,0,1,0
1,10035,1,0,1,117,20,1,2013,1,19,45,0,33.43004167,-86.40069444,0,1,0,19,50,0,0,0,1,1
1,10036,1,0,1,81,21,1,2013,2,2,35,0,32.47368333,-85.14420278,0,1,0,2,51,0,0,0,1,0
1,10037,2,0,2,125,22,1,2013,3,19,15,0,33.21994722,-87.44051667,2,1,0,19,30,0,0,0,1,0
1,10038,2,1,3,89,23,1,2013,4,18,21,1,34.73663333,-86.60826389,0,1,0,18,24,0,0,0,1,0
1,10039,2,0,2,1,25,1,2013,6,1,0,0,32.45165,-86.46791111,2,1,0,1,6,0,0,0,1,1
1,10040,1,0,1,85,26,1,2013,7,13,15,0,32.16895833,-86.49837778,0,1,0,13,50,0,0,0,1,1
1,10041,2,0,3,71,25,1,2013,6,11,0,0,34.62301944,-85.89545833,6,2,0,11,18,0,0,0,2,2
1,10042,1,0,1,93,28,1,2013,2,13,10,1,34.14913611,-88.05941389,0,1,0,13,20,0,0,0,1,0
1,10043,4,0,8,103,30,1,2013,4,9,46,1,34.56789444,-87.01189167,6,2,0,9,49,0,0,0,1,0
1,10044,1,0,2,3,31,1,2013,5,13,28,0,30.29027778,-87.60797778,0,1,0,13,38,0,0,0,1,0
1,10045,1,0,4,73,5,1,2013,7,13,49,0,33.71287222,-86.65015,0,10,0,14,3,0,0,0,1,0
1,10046,2,0,2,97,8,1,2013,3,14,18,1,30.81141389,-88.07138333,0,10,0,14,21,20,14,0,1,0
1,10047,1,1,1,89,14,1,2013,2,21,30,0,34.92797222,-86.63340556,0,2,0,21,49,0,0,0,1,0
1,10048,1,0,1,95,15,1,2013,3,12,15,0,34.33096667,-86.21045,0,2,0,12,18,0,0,0,1,0
1,10049,1,0,2,97,20,1,2013,1,2,0,1,30.97461667,-88.02708889,0,1,0,2,26,0,0,0,1,1
1,10050,1,0,1,125,23,1,2013,4,99,99,0,33.31925556,-87.65218889,0,1,0,88,88,0,0,0,1,0
1,10051,2,0,2,89,27,1,2013,1,14,31,1,34.79283056,-86.57753056,0,10,0,14,36,14,0,0,1,0
1,10052,4,0,9,97,27,1,2013,1,13,25,1,30.65205833,-88.12233889,1,10,0,13,30,0,0,0,1,1
1,10053,1,0,1,43,28,1,2013,2,21,43,0,34.18274167,-86.85603889,0,1,0,21,48,20,0,0,1,1
1,10054,1,1,1,15,30,1,2013,4,13,30,1,33.80007222,-85.90083056,0,2,0,99,99,0,0,0,1,0
1,10055,1,1,1,89,31,1,2013,5,18,9,0,34.74581389,-86.58428889,0,1,0,18,12,0,0,0,1,0
1,10056,1,0,2,129,7,1,2013,2,23,25,0,31.50473611,-87.98959722,0,1,0,99,99,0,0,0,1,0
