STATE,ST_CASE,VE_TOTAL,PEDS,PERSONS,COUNTY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,LATITUDE,LONGITUD,MAN_COLL,WEATHER,SCH_BUS,ARR_HOUR,ARR_MIN,CF1,CF2,CF3,FATALS,DRUNK_DR
1,10001,1,0,2,71,1,1,2014,4,1,15,0,34.62372222,-85.98140833,0,1,0,1,35,0,0,0,1,1
1,10002,1,0,1,59,1,1,2014,4,13,30,0,34.39742778,-87.77211667,0,1,0,13,50,0,0,0,1,1
1,10003,2,0,7,125,1,1,2014,4,3,7,1,33.19717222,-87.52591111,6,1,0,3,10,0,0,0,2,0
1,10004,3,0,5,121,2,1,2014,5,9,0,1,33.19638333,-86.30783056,2,2,0,9,15,0,0,0,1,0
1,10005,1,0,1,43,2,1,2014,5,16,30,0,34.18018889,-86.78459167,0,1,0,12,45,0,0,0,1,0
1,10006,1,0,1,35,3,1,2014,6,2,0,0,31.42733056,-87.38682778,0,1,0,6,15,0,0,0,1,0
1,10007,3,0,2,97,3,1,2014,6,18,40,0,30.66011389,-88.07023056,7,10,0,18,48,0,0,0,1,1
1,10008,2,0,4,13,4,1,2014,7,6,20,1,31.93017778,-86.57133889,1,1,0,6,30,0,0,0,1,0
1,10009,3,0,5,127,4,1,2014,7,15,39,1,33.75402778,-87.061075,0,1,0,15,51,0,0,0,1,0
1,10010,2,0,6,101,6,1,2014,2,17,56,0,32.42774167,-86.26965278,2,1,0,18,2,0,0,0,2,0
1,10011,1,0,1,83,8,1,2014,4,8,48,0,34.8311,-86.89126111,0,10,0,9,0,0,0,0,1,0
1,10012,2,0,2,97,8,1,2014,4,12,34,1,30.6824,-88.22544167,0,1,0,12,39,0,0,0,1,1
1,10013,1,0,1,53,8,1,2014,4,15,47,0,31.18008889,-87.43833056,0,1,0,16,21,0,0,0,1,1
1,10014,1,0,1,43,9,1,2014,5,6,0,0,34.14506667,-86.76604722,0,1,0,10,25,0,0,0,1,1
1,10015,2,1,2,15,8,1,2014,4,21,31,9,33.64666111,-85.65668889,2,1,0,21,40,19,15,0,2,0
1,10016,1,0,7,7,10,1,2014,6,16,15,0,33.08283611,-87.20031667,0,10,0,16,35,0,0,0,1,0
1,10017,2,0,3,43,10,1,2014,6,17,15,0,34.23804722,-86.70756389,6,10,0,17,32,0,0,0,1,0
1,10018,1,0,1,67,10,1,2014,6,18,10,0,31.52903333,-85.20026111,0,2,0,18,26,0,0,0,1,0
1,10019,1,0,1,97,10,1,2014,6,21,40,0,30.74886667,-88.37026944,0,2,0,21,59,0,0,0,1,0
1,10020,1,0,2,89,11,1,2014,7,3,32,1,34.73530556,-86.596275,0,2,0,3,38,0,0,0,1,1
1,10021,1,1,2,81,11,1,2014,7,20,23,0,32.64859722,-85.40719167,0,1,0,21,31,0,0,0,1,0
1,10022,1,0,1,45,2,1,2014,5,13,12,0,31.36858056,-85.6,0,2,0,13,33,0,0,0,1,0
1,10023,2,0,3,49,3,1,2014,6,13,30,0,34.59374722,-85.64016389,6,1,0,13,45,0,0,0,1,0
1,10024,2,0,2,131,7,1,2014,3,18,15,0,32.002525,-87.59595833,2,1,0,18,35,0,0,0,1,1
1,10025,3,0,4,59,8,1,2014,4,17,43,1,34.47749444,-87.74295278,6,1,0,17,49,0,0,0,1,0
1,10026,1,0,1,81,9,1,2014,5,10,32,1,32.65222222,-85.34677778,0,10,0,10,42,0,0,0,1,0
