STATE,ST_CASE,VE_TOTAL,PEDS,PERSONS,COUNTY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,LATITUDE,LONGITUD,MAN_COLL,WEATHER,SCH_BUS,ARR_HOUR,ARR_MIN,CF1,CF2,CF3,FATALS,DRUNK_DR
1,10044,1,0,3,97,23,1,2010,7,17,40,0,30.76025833,-88.15321944,0,1,0,17,55,0,0,0,1,1
1,10045,1,0,1,51,24,1,2010,1,5,0,1,32.6189,-86.22354722,0,1,0,99,99,0,0,0,1,1
1,10046,1,0,1,123,24,1,2010,1,17,30,0,32.82171389,-85.59425833,0,2,0,11,9,18,0,0,1,1
1,10047,2,0,3,89,25,1,2010,2,7,35,0,34.72885556,-86.48895556,2,1,0,7,50,0,0,0,1,0
1,10048,1,0,1,27,28,1,2010,5,10,40,0,33.49440833,-85.68269444,0,1,0,11,6,0,0,0,1,0
1,10049,2,0,2,83,28,1,2010,5,7,1,1,34.76536111,-86.87728056,6,1,0,7,15,0,0,0,1,0
1,10050,2,0,5,77,29,1,2010,6,11,15,1,34.957825,-87.52741389,6,3,0,12,0,0,0,0,3,0
1,10051,2,0,4,71,29,1,2010,6,11,17,0,34.69036667,-86.00071944,6,3,0,11,24,0,0,0,1,0
1,10052,1,0,1,15,30,1,2010,7,2,40,0,33.64933611,-85.72008611,0,2,0,88,88,0,0,0,1,1
1,10053,2,0,2,77,1,2,2010,2,14,45,1,34.89723889,-87.53185278,6,1,0,88,88,0,0,0,1,0
1,10054,2,0,2,77,2,2,2010,3,23,40,0,34.90518611,-87.82072778,6,1,0,0,15,0,0,0,1,0
1,10055,2,0,2,3,4,2,2010,5,9,20,0,30.56756944,-87.64526111,2,1,0,9,30,0,0,0,1,0
1,10056,2,0,4,117,4,2,2010,5,20,45,0,33.36529167,-86.71638056,2,2,0,20,50,0,0,0,1,0
1,10057,2,0,3,55,6,2,2010,7,16,10,0,34.05106944,-85.81016389,2,1,0,16,25,0,0,0,1,1
1,10058,1,0,2,121,6,2,2010,7,20,30,0,33.53010833,-85.94894722,0,1,0,20,45,0,0,0,1,0
1,10059,1,0,1,55,7,2,2010,1,11,25,9,34.027375,-86.11078611,0,1,0,11,32,0,0,0,1,0
1,10060,2,0,2,103,8,2,2010,2,17,12,0,34.61162222,-86.97446944,7,2,0,17,24,0,0,0,1,0
1,10061,1,0,1,9,8,2,2010,2,23,15,1,34.17349167,-86.5389,0,2,0,88,88,0,0,0,1,1
1,10062,2,0,2,83,10,2,2010,4,20,15,1,34.66890833,-86.95017778,2,1,0,20,39,0,0,0,1,0
1,10063,2,0,3,55,12,2,2010,6,13,15,1,34.02105833,-86.11753333,1,4,0,13,21,0,0,0,1,0
1,10064,1,0,3,11,12,2,2010,6,11,45,0,32.26628611,-85.94693611,0,4,0,12,2,0,0,0,2,0
1,10065,2,0,2,71,12,2,2010,6,12,33,0,34.93194722,-85.5974,2,4,1,12,45,0,0,0,1,0
1,10066,2,0,2,97,21,1,2010,5,12,40,1,30.71966667,-88.1439,6,1,0,12,45,0,0,0,1,0
1,10067,2,0,2,83,1,2,2010,2,6,10,1,34.62860833,-86.94285,2,1,0,5,40,0,0,0,1,0
1,10068,2,0,2,35,2,2,2010,3,5,36,1,31.41861111,-87.00978889,1,1,0,5,40,0,0,0,1,0
1,10069,1,0,1,5,5,2,2010,6,0,57,0,31.87659167,-85.23907778,0,2,0,1,6,0,0,0,1,0
1,10070,3,0,4,73,5,1,2010,3,7,45,1,33.41061389,-86.97054167,0,1,0,7,55,0,0,0,1,0
1,10071,1,0,1,85,16,1,2010,7,0,35,0,32.32568056,-86.73812222,0,2,0,0,55,0,0,0,1,0
1,10072,3,0,4,21,21,1,2010,5,17,33,0,32.87381944,-86.65406111,1,1,0,17,42,0,0,0,1,0
