STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_TOTAL,PERSONS,PEDS,NHS,MAN_COLL,ARR_HOUR,ARR_MIN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,YEAR,WEATHER,LATITUDE,LONGITUD
1,51,1,20,17,35,1,4,1,0,0,17,45,0,0,0,0,1,7,0,10044,2007,1,32.60160833,-86.20722778
1,97,1,20,20,20,1,5,0,0,0,20,30,0,0,0,0,1,7,1,10045,2007,1,30.71123611,-88.26531667
1,103,2,1,17,50,1,2,0,1,0,18,10,0,0,0,0,1,5,1,10046,2007,5,34.61926944,-87.02136389
1,125,1,29,11,50,3,3,0,1,5,12,5,0,0,0,0,1,2,0,10047,2007,1,33.25101111,-87.13395
1,125,1,21,7,45,1,1,0,0,0,8,4,0,0,0,0,1,1,0,10048,2007,2,33.311825,-87.63714722
1,29,1,24,5,55,1,2,0,1,0,6,15,0,0,0,0,1,4,0,10049,2007,1,33.62041667,-85.63264722
1,49,1,24,17,15,1,5,0,0,0,17,34,0,0,0,0,1,4,0,10050,2007,1,34.53896667,-85.69706944
1,127,2,1,2,15,1,1,0,0,0,2,49,0,0,0,0,1,5,0,10051,2007,2,33.96431111,-87.34113333
1,127,2,1,7,25,1,1,0,0,0,7,52,0,0,0,0,1,5,0,10052,2007,2,33.71323333,-87.26518333
1,3,1,24,15,45,2,2,0,0,4,16,5,0,0,0,0,1,4,0,10053,2007,1,30.45793611,-87.74238056
1,125,1,25,15,25,1,1,0,0,0,16,1,0,0,0,0,1,5,0,10054,2007,1,33.12893611,-87.78817778
1,115,2,10,6,30,2,2,0,1,1,6,35,0,0,0,0,1,7,1,10055,2007,1,33.89426667,-86.24556944
1,75,2,10,12,20,2,2,0,0,2,12,36,0,0,0,0,2,7,0,10056,2007,1,33.74023333,-88.19575
1,51,2,11,18,9,2,4,0,0,2,18,14,0,0,0,0,1,1,0,10057,2007,1,32.50759444,-86.37390556
1,125,2,15,11,8,1,1,0,0,0,99,99,0,0,0,0,1,5,0,10058,2007,1,33.36406111,-87.66162222
1,101,2,16,18,0,2,3,0,1,4,18,5,0,0,0,0,2,6,0,10059,2007,1,32.23645833,-86.12668611
1,63,2,16,8,20,1,2,0,1,0,8,42,0,0,0,0,1,6,1,10060,2007,1,32.90977778,-87.87626111
1,73,1,4,5,45,3,3,0,1,0,6,9,0,0,0,0,1,5,0,10061,2007,1,33.52272222,-87.06103889
1,71,1,11,7,51,2,4,0,1,1,7,56,0,0,0,0,1,5,0,10062,2007,1,34.69097222,-86.35308889
1,43,1,31,0,20,1,2,0,0,0,9,59,0,0,0,0,1,4,1,10063,2007,1,33.92055833,-86.93330833
1,65,2,4,21,10,2,5,0,0,4,21,32,0,0,0,0,5,1,1,10064,2007,1,32.563725,-87.52825556
1,25,2,4,4,30,1,3,0,0,0,5,20,0,0,0,0,2,1,1,10065,2007,1,31.81022778,-87.7531
1,121,2,5,12,0,2,2,0,0,8,12,10,0,0,0,0,1,2,0,10066,2007,1,33.58149167,-85.84919444
1,73,2,3,22,40,1,2,0,0,0,22,49,0,0,0,0,1,7,1,10067,2007,1,33.392875,-87.02479444
1,3,2,2,8,0,1,1,0,0,0,8,17,0,0,0,0,1,6,0,10068,2007,1,31.01872222,-87.65397222
1,97,2,4,0,30,1,1,0,0,0,0,40,0,0,0,0,1,1,0,10069,2007,1,30.82658611,-88.26329444
1,97,2,4,6,15,1,2,0,0,0,6,50,0,0,0,0,1,1,1,10070,2007,1,31.13616944,-88.08338056
1,95,2,3,8,10,1,3,0,0,0,8,22,0,0,0,0,1,7,0,10071,2007,1,34.25916944,-86.38343611
1,51,2,3,8,45,1,2,0,0,0,9,0,0,0,0,0,1,7,1,10072,2007,1,32.52954444,-86.13111667
1,73,2,11,14,40,2,5,0,1,0,14,46,0,14,0,0,2,1,0,10073,2007,1,33.38912778,-86.98634722
1,97,2,19,3,59,1,3,0,1,0,4,4,0,0,0,0,3,2,0,10074,2007,1,30.72808333,-88.11999722
1,97,2,20,15,54,1,2,1,0,0,16,0,0,0,0,0,1,3,0,10075,2007,1,30.69388056,-88.06118333
1,73,2,24,2,25,1,1,0,1,0,2,43,0,0,0,0,1,7,0,10076,2007,1,33.44926667,-86.95538889
1,97,3,1,18,48,1,2,1,0,0,18,55,0,0,0,0,1,5,1,10077,2007,1,30.70641111,-88.12174167
1,97,3,2,11,40,1,1,0,1,0,11,42,0,0,0,0,1,6,0,10078,2007,1,30.70783889,-88.12394444
1,97,3,4,11,56,1,1,0,0,0,11,58,0,0,0,0,1,1,0,10079,2007,1,30.69831389,-88.06041667
1,83,2,6,19,10,1,1,0,0,0,19,15,0,0,0,0,1,3,1,10080,2007,1,34.84011667,-86.831725
1,109,2,7,2,30,2,2,0,1,2,2,51,0,0,0,0,1,4,0,10081,2007,1,31.64517222,-85.81009167
1,9,2,7,15,30,1,1,0,0,0,15,40,0,0,0,0,1,4,0,10082,2007,1,33.86445,-86.55283889
1,77,2,8,7,45,2,2,0,0,2,8,10,0,0,0,0,1,5,0,10083,2007,1,34.866375,-87.75892222
1,21,2,8,5,40,1,8,0,0,0,6,15,0,0,0,0,4,5,0,10084,2007,1,32.89676667,-86.69105833
1,117,2,8,7,45,1,1,0,0,0,7,52,0,0,0,0,1,5,0,10085,2007,1,33.261875,-86.44895
1,91,2,9,15,45,2,3,0,0,5,16,37,0,0,0,0,1,6,1,10086,2007,2,32.11731111,-87.99969167
1,87,2,9,22,0,1,1,0,0,0,22,10,0,0,0,0,1,6,1,10087,2007,1,32.53143889,-85.65492778
1,125,2,16,8,25,2,3,0,1,1,8,36,0,19,0,0,1,6,0,10088,2007,1,33.17718889,-87.38482778
1,99,2,18,11,0,1,1,0,0,0,11,19,0,0,0,0,1,1,0,10089,2007,1,31.29323889,-87.57243889
