STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_TOTAL,PERSONS,PEDS,NHS,MAN_COLL,WEATHER,ARR_HOUR,ARR_MIN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,YEAR,LATITUDE,LONGITUD
1,91,1,23,13,48,2,2,0,1,2,1,0,0,0,0,0,0,2,2,0,10051,2006,32.02195,-87.77286944
1,127,1,21,12,30,1,2,0,0,0,2,12,40,0,0,0,0,1,7,0,10052,2006,33.83256667,-87.16841667
1,57,1,23,5,44,1,1,0,0,0,2,5,58,0,0,0,0,1,2,0,10053,2006,33.69758611,-87.83929722
1,73,1,11,13,30,1,1,0,1,0,1,15,40,0,0,0,0,1,4,0,10054,2006,33.54474444,-86.64312778
1,81,1,24,10,45,2,2,0,0,2,1,10,57,0,0,0,0,1,3,0,10055,2006,32.60822222,-85.44769444
1,63,1,11,19,15,1,1,0,0,0,1,20,4,0,0,0,0,1,4,1,10056,2006,33.02915278,-88.05749167
1,3,1,11,7,30,2,2,0,1,4,2,7,41,0,0,0,0,1,4,0,10057,2006,30.68494444,-87.99961667
1,117,1,24,13,40,3,6,0,0,2,1,13,48,0,0,0,0,1,3,0,10058,2006,33.15730833,-86.73006944
1,89,1,25,20,45,1,3,0,0,0,1,20,56,0,0,0,0,1,4,1,10059,2006,34.629625,-86.54069444
1,3,1,25,16,53,2,3,0,0,4,1,16,58,0,0,0,0,1,4,0,10060,2006,30.29031667,-87.60251111
1,83,2,1,17,26,1,1,0,0,0,1,17,40,0,0,0,0,1,4,0,10061,2006,34.85585,-86.80148333
1,89,2,1,19,10,1,2,1,1,0,1,19,14,0,0,0,0,1,4,1,10062,2006,34.74681111,-86.60001111
1,113,2,1,10,44,2,3,0,1,1,1,10,56,0,0,0,0,2,4,0,10063,2006,32.49615556,-85.02137222
1,119,2,2,17,20,1,1,0,0,0,1,18,2,0,0,0,0,1,5,1,10064,2006,32.55308333,-88.19956667
1,31,2,3,23,10,1,3,0,0,0,5,23,32,0,0,0,0,2,6,1,10065,2006,31.53887222,-85.98714444
1,19,1,26,10,22,1,1,0,0,0,1,10,39,0,0,0,0,1,5,0,10066,2006,34.23214444,-85.56707222
1,5,1,28,13,40,1,1,0,0,0,1,99,99,0,0,0,0,1,7,0,10067,2006,32.02662778,-85.33788333
1,33,2,3,12,30,1,1,0,0,0,1,12,50,0,0,0,0,1,6,0,10068,2006,34.72441389,-87.82056944
1,73,2,3,18,15,1,3,1,1,0,1,18,24,0,0,0,0,1,6,0,10069,2006,33.54303889,-86.87374444
1,37,2,6,15,55,1,4,0,0,0,2,16,5,0,0,0,0,1,2,0,10070,2006,33.09781389,-86.112525
1,53,2,4,18,35,2,3,0,0,2,1,18,55,0,0,0,0,1,7,0,10071,2006,31.143975,-87.20634167
1,121,2,4,0,10,2,3,0,1,2,2,0,30,0,0,0,0,2,7,2,10072,2006,33.58533333,-85.89609444
1,115,2,6,7,15,2,5,0,1,7,2,7,35,0,0,0,0,1,2,0,10073,2006,33.82764167,-86.33789444
1,63,1,28,11,10,2,3,0,0,5,1,11,25,0,0,0,0,1,7,0,10074,2006,32.77715,-87.98543333
1,115,2,7,6,15,1,1,0,1,0,1,6,30,0,0,0,0,1,3,0,10075,2006,33.702325,-86.52413056
1,7,2,8,18,37,2,4,0,0,2,1,18,49,0,0,0,0,3,4,1,10076,2006,33.03491111,-87.14003333
1,17,1,28,22,5,1,4,0,0,0,1,22,13,0,0,0,0,2,7,1,10077,2006,32.88495,-85.20395833
1,103,2,8,12,25,2,3,0,0,2,1,12,41,0,0,0,0,1,4,1,10078,2006,34.54337778,-86.86833333
1,85,1,29,18,50,1,1,0,1,0,1,19,20,0,0,0,0,1,1,0,10079,2006,31.98596389,-86.52912222
