STATE,ST_CASE,VE_TOTAL,PEDS,PERSONS,COUNTY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,LATITUDE,LONGITUD,MAN_COLL,WEATHER,SCH_BUS,ARR_HOUR,ARR_MIN,CF1,CF2,CF3,FATALS,DRUNK_DR
1,10001,1,0,1,127,1,1,2015,5,2,40,0,33.87865278,-87.32532778,0,1,0,2,58,0,0,0,1,1
1,10002,1,0,1,83,1,1,2015,5,22,13,1,34.91044167,-86.90870833,0,10,0,22,20,0,0,0,1,0
1,10003,1,0,2,11,1,1,2015,5,1,25,0,32.14200556,-85.75845556,0,1,0,1,45,0,0,0,1,1
1,10004,1,0,1,45,4,1,2015,1,0,57,0,31.43981389,-85.5103,0,10,0,1,15,0,0,0,1,1
1,10005,2,0,2,45,7,1,2015,4,7,9,0,31.31933056,-85.5151,6,1,0,7,16,0,0,0,1,0
1,10006,1,0,2,111,8,1,2015,5,9,59,0,33.43849444,-85.38926667,0,1,0,10,17,0,0,0,1,0
1,10007,1,0,2,89,8,1,2015,5,18,33,1,34.77304444,-86.52766389,0,1,0,18,38,0,0,0,1,0
1,10008,1,1,1,73,3,1,2015,7,21,30,0,33.46248889,-86.87090556,0,2,0,21,48,0,0,0,1,0
1,10009,1,0,1,117,13,1,2015,3,8,0,1,33.2361,-86.81392222,0,10,0,8,3,0,0,0,1,0
1,10010,2,0,2,33,5,1,2015,2,18,45,0,34.75836667,-87.60750833,2,1,0,19,1,0,0,0,1,0
1,10011,2,0,2,83,7,1,2015,4,20,55,0,34.76602778,-86.87921111,7,1,0,21,20,0,0,0,1,0
1,10012,3,0,6,95,9,1,2015,6,6,35,0,34.36911667,-86.28887778,6,1,0,6,41,0,0,0,1,0
1,10013,1,0,1,87,10,1,2015,7,10,55,0,32.55177222,-85.74464444,0,1,0,88,88,0,0,0,1,1
1,10014,1,0,1,11,11,1,2015,1,6,13,0,32.16270833,-85.71402778,0,10,0,6,29,0,0,0,1,1
1,10015,1,0,1,127,11,1,2015,1,8,30,0,33.96415,-87.60569722,0,1,0,8,55,0,0,0,1,0
1,10016,2,0,2,81,13,1,2015,3,17,20,0,32.61823889,-85.37138333,6,10,0,17,30,0,0,0,1,0
1,10017,1,0,1,97,14,1,2015,4,14,40,0,30.50592778,-88.233925,0,10,0,14,50,0,0,0,1,0
1,10018,1,0,2,1,16,1,2015,6,19,15,0,32.52434444,-86.67211944,0,1,0,19,35,0,0,0,1,1
1,10019,1,0,1,121,19,1,2015,2,1,0,0,33.22930833,-86.26927778,0,1,0,88,88,0,0,0,1,0
1,10020,2,0,3,121,15,1,2015,5,17,10,0,33.46581111,-86.04999167,6,2,0,17,18,0,0,0,1,0
1,10021,2,0,4,115,23,1,2015,6,13,48,1,33.56601667,-86.52102222,1,2,0,14,5,27,0,0,1,0
1,10022,1,0,2,127,26,1,2015,2,6,15,1,33.84021944,-87.33155833,0,1,0,6,30,0,0,0,1,0
1,10023,1,0,1,11,12,1,2015,2,21,20,0,32.21718333,-85.91875,0,5,0,21,25,0,0,0,1,1
1,10024,1,0,1,5,2,1,2015,6,6,0,0,31.83945278,-85.2207,0,1,0,6,25,0,0,0,1,0
1,10025,1,0,2,125,15,1,2015,5,3,5,0,33.08890556,-87.67459722,0,1,0,88,88,0,0,0,2,1
1,10026,1,0,1,73,13,1,2015,3,13,33,0,33.46460556,-86.941675,0,10,0,13,42,0,0,0,1,0
1,10027,2,0,3,3,17,1,2015,7,14,42,0,30.47271111,-87.66633056,6,1,0,14,47,0,0,0,1,0
1,10028,1,0,1,1,10,1,2015,7,0,31,0,32.43066389,-86.51791667,0,1,0,0,40,0,0,0,1,1
1,10029,1,0,1,69,23,1,2015,6,5,40,0,31.16130833,-85.19056111,0,2,0,5,52,0,0,0,1,0
1,10030,2,0,5,21,24,1,2015,7,13,15,0,32.78083333,-86.4702,2,1,0,13,35,0,0,0,5,0
1,10031,1,1,1,93,24,1,2015,7,16,38,0,33.92139167,-87.86725,0,1,0,16,51,0,0,0,1,0
1,10032,1,0,1,15,25,1,2015,1,6,20,0,33.74095278,-85.88291667,0,1,0,6,30,0,0,0,1,1
1,10033,1,0,2,123,23,1,2015,6,21,22,0,32.87644722,-85.87761667,0,2,0,21,28,0,0,0,2,1
1,10034,6,0,10,3,15,1,2015,5,14,27,0,30.65515556,-87.90710278,1,10,0,14,36,0,0,0,1,1
1,10035,2,0,2,73,28,1,2015,4,9,25,0,33.58196667,-86.92233333,6,1,0,9,30,0,0,0,1,0
1,10036,2,0,5,97,19,1,2015,2,14,25,0,30.85440833,-88.19383056,6,1,0,14,41,0,0,0,2,0
1,10037,1,0,1,3,26,1,2015,2,14,40,0,30.73176944,-87.78450833,0,1,0,14,59,0,0,0,1,0
1,10038,1,0,1,97,27,1,2015,3,16,50,0,30.612125,-88.07764444,0,1,0,16,55,0,0,0,1,0
