STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_TOTAL,PERSONS,PEDS,NHS,MAN_COLL,ARR_HOUR,ARR_MIN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,YEAR,LATITUDE,LONGITUD,WEATHER
1,125,2,4,11,2,1,1,0,0,0,11,20,0,0,0,0,1,4,0,10047,2009,33.0753,-87.5852,1
1,15,2,4,3,40,1,1,0,0,0,3,55,0,0,0,0,1,4,1,10048,2009,33.6379,-85.903,1
1,121,2,4,15,19,1,5,0,0,0,15,24,0,0,0,0,4,4,0,10049,2009,33.4516,-86.09,1
1,53,2,5,5,49,2,3,0,0,2,6,8,0,0,0,0,1,5,0,10050,2009,31.1181,-87.4695,1
1,17,2,6,19,10,2,2,0,0,5,19,15,0,20,0,0,1,6,0,10051,2009,32.8522,-85.271,1
1,43,2,7,16,10,1,1,0,1,0,16,18,0,0,0,0,1,7,0,10052,2009,34.1828,-86.7772,1
1,95,2,7,14,40,2,2,0,0,5,15,2,0,0,0,0,1,7,1,10053,2009,34.3829,-86.4541,1
1,59,2,8,12,5,2,4,0,1,5,12,20,0,0,0,0,1,1,0,10054,2009,34.4887,-87.9409,1
1,117,2,10,0,25,1,1,0,0,0,0,49,0,0,0,0,1,3,1,10055,2009,33.3162,-86.817,1
1,51,2,11,10,45,1,1,0,0,0,11,10,0,0,0,0,1,4,0,10056,2009,32.5528,-86.292,1
1,79,2,12,22,5,1,2,1,1,0,22,50,0,0,0,0,1,5,0,10057,2009,34.5565,-87.3309,1
1,95,2,14,5,0,1,1,0,0,0,7,10,0,0,0,0,1,7,1,10058,2009,34.2326,-86.277,2
1,89,2,16,13,38,2,3,0,0,5,13,42,0,0,0,0,1,2,0,10059,2009,34.8836,-86.7171,1
1,43,2,19,19,30,1,1,0,0,0,8,57,0,18,0,0,1,5,1,10060,2009,34.2268,-86.5469,1
1,69,2,22,2,50,1,1,0,0,0,3,10,0,0,0,0,1,1,1,10061,2009,31.1526,-85.1004,1
1,21,2,23,3,45,1,1,0,1,0,4,2,0,0,0,0,1,2,0,10062,2009,32.9191,-86.6467,1
1,39,2,25,19,30,2,2,0,1,2,19,50,0,0,0,0,1,4,0,10063,2009,31.3138,-86.4098,1
1,109,2,25,0,2,1,1,0,1,0,0,9,0,0,0,0,1,4,1,10064,2009,31.9063,-86.0117,1
1,49,2,20,15,28,2,2,0,1,5,15,32,0,0,0,0,1,6,0,10065,2009,34.4444,-85.7764,1
1,95,1,6,17,16,4,7,0,1,5,17,21,0,0,0,0,1,3,0,10066,2009,34.2266,-86.1614,2
1,71,1,23,14,0,2,6,0,1,5,12,43,0,0,0,0,1,6,0,10067,2009,34.9365,-85.7581,1
1,53,1,31,2,49,1,2,0,0,0,2,55,0,0,0,0,1,7,1,10068,2009,31.0126,-87.4905,1
1,73,3,4,17,11,2,3,0,0,5,16,44,0,20,0,0,1,4,0,10069,2009,33.4411,-86.9427,1
1,81,1,26,14,51,1,1,0,0,0,88,88,0,0,0,0,1,2,0,10070,2009,32.5531,-85.5288,1
1,99,1,9,20,27,4,3,0,0,1,20,30,0,0,0,0,1,6,1,10071,2009,31.5216,-87.3343,1
1,101,1,10,20,21,1,2,1,0,0,20,24,0,0,0,0,1,7,0,10072,2009,32.3147,-86.3502,2
1,17,2,23,12,25,1,1,0,1,0,12,40,0,0,0,0,1,2,0,10073,2009,33.0988,-85.3442,1
1,125,2,24,15,5,1,1,0,0,0,15,45,0,0,0,0,1,3,0,10074,2009,33.2874,-87.183,1
1,125,2,19,16,15,2,2,0,0,2,16,25,0,0,0,0,1,5,0,10075,2009,33.1995,-87.4737,1
1,55,2,10,1,47,1,1,0,0,0,1,49,0,0,0,0,1,3,1,10076,2009,34.015,-86.0078,1
1,73,2,12,5,50,2,6,0,1,1,6,10,0,0,0,0,1,5,0,10077,2009,33.4842,-86.9189,1
1,3,2,15,2,27,1,1,0,1,0,2,31,0,0,0,0,1,1,1,10078,2009,30.3906,-87.6833,1
1,69,2,16,0,4,1,1,0,1,0,0,11,0,0,0,0,1,2,1,10079,2009,31.2384,-85.5064,1
1,3,2,17,16,4,2,2,0,0,2,16,1,0,0,0,0,1,3,0,10080,2009,30.2797,-87.6516,1
1,73,2,19,2,45,1,3,0,0,0,2,50,0,0,0,0,2,5,1,10081,2009,33.4252,-87.0034,1
1,59,1,31,22,9,2,3,0,1,2,22,22,0,0,0,0,1,7,0,10082,2009,34.4853,-87.8286,1
1,3,2,8,18,13,2,2,0,0,2,18,17,0,0,0,0,1,1,1,10083,2009,30.3557,-87.6691,1
1,89,2,11,12,15,2,6,0,0,5,12,24,0,0,0,0,1,4,0,10084,2009,34.6589,-86.4969,1
1,89,2,11,21,30,1,1,0,0,0,22,17,0,0,0,0,1,4,0,10085,2009,34.9806,-86.4077,1
1,89,2,13,0,10,1,1,0,0,0,0,18,0,0,0,0,1,6,1,10086,2009,34.7892,-86.5364,1
1,111,2,14,17,0,1,2,0,0,0,17,15,0,0,0,0,1,7,1,10087,2009,33.4691,-85.6012,1
1,37,2,15,17,45,3,6,0,1,5,17,59,0,0,0,0,1,1,0,10088,2009,33.0931,-86.2132,1
1,43,2,16,18,24,2,2,0,0,5,18,30,0,0,0,0,1,2,0,10089,2009,34.0667,-86.7625,1
1,115,2,18,15,54,1,1,0,0,0,16,7,0,0,0,0,1,4,1,10090,2009,33.5415,-86.4397,1
1,115,2,21,0,5,1,3,0,1,0,0,20,0,0,0,0,1,7,0,10091,2009,33.9444,-86.1672,1
1,117,2,19,17,44,2,2,0,0,5,17,48,0,0,0,0,1,5,0,10092,2009,33.094,-86.7815,1
1,89,2,19,20,45,1,2,1,1,0,20,54,0,0,0,0,1,5,0,10093,2009,34.6127,-86.5671,1
1,127,2,24,0,1,1,1,0,0,0,8,0,0,0,0,0,1,3,0,10094,2009,33.7904,-87.2397,1
1,125,2,24,8,10,1,1,0,1,0,8,32,0,0,0,0,1,3,0,10095,2009,33.2669,-87.7184,1
1,9,2,25,22,15,1,1,0,0,0,6,15,0,18,0,0,1,4,1,10096,2009,33.828,-86.4589,1
1,113,2,27,7,0,2,2,0,1,8,7,20,0,0,0,0,2,6,0,10097,2009,32.4589,-85.1798,1
1,89,2,27,15,10,1,1,0,0,0,15,29,0,0,0,0,1,6,1,10098,2009,34.8069,-86.774,1
1,89,2,28,10,55,2,5,0,1,5,11,4,0,0,0,0,2,7,0,10099,2009,34.9614,-86.568,1
1,71,2,28,18,28,2,4,0,1,5,18,34,0,0,0,0,1,7,0,10100,2009,34.6213,-86.0968,2
1,73,3,7,3,25,2,2,0,1,1,3,34,0,0,0,0,1,7,1,10101,2009,33.5156,-86.8697,1
1,3,3,1,2,10,1,1,0,0,0,2,30,0,0,0,0,1,1,0,10102,2009,30.5236,-87.8101,1
1,65,3,5,11,45,1,1,0,0,0,11,58,0,0,0,0,1,5,0,10103,2009,32.5471,-87.5632,1
1,97,3,5,21,0,1,3,1,0,0,21,20,0,0,0,0,1,5,1,10104,2009,30.4709,-88.3069,1
1,97,3,5,7,10,2,2,0,0,1,7,20,1,0,0,0,1,5,0,10105,2009,30.5081,-88.3765,1
1,127,3,6,17,0,1,1,0,0,0,17,18,0,0,0,0,1,6,0,10106,2009,33.8584,-87.1735,1
1,95,3,7,0,37,1,3,0,0,0,0,48,0,0,0,0,1,7,0,10107,2009,34.5017,-86.3015,1
1,125,3,7,18,5,1,1,0,0,0,18,25,0,0,0,0,1,7,1,10108,2009,33.3451,-87.328,1
1,69,3,15,14,54,1,1,0,0,0,15,2,0,0,0,0,1,1,0,10109,2009,31.1829,-85.3313,2
1,73,3,7,23,6,1,1,0,0,0,23,25,0,0,0,0,1,7,1,10110,2009,33.3322,-86.9257,1
1,49,3,8,11,5,1,2,0,1,0,11,17,0,0,0,0,1,1,0,10111,2009,34.3185,-85.8471,1
1,3,3,8,11,4,1,1,0,0,0,11,12,0,0,0,0,1,1,0,10112,2009,30.4069,-87.6274,1
1,35,3,8,18,53,1,1,0,0,0,19,15,0,0,0,0,1,1,1,10113,2009,31.368,-87.1779,1
1,69,3,8,3,30,1,1,0,0,0,3,30,0,0,0,0,1,1,1,10114,2009,31.1359,-85.1762,1
1,47,3,8,18,50,1,1,0,0,0,19,25,0,0,0,0,1,1,1,10115,2009,32.4505,-86.898,1
1,97,3,9,0,30,1,2,0,1,0,0,45,0,0,0,0,2,2,1,10116,2009,30.5347,-88.2446,1
1,3,3,9,19,0,1,2,1,0,0,19,40,0,0,0,0,1,2,0,10117,2009,30.4186,-87.847,1
1,61,3,9,18,40,1,1,0,0,0,19,0,0,0,0,0,1,2,1,10118,2009,31.0688,-85.5677,1
1,97,3,9,3,40,1,2,0,0,0,3,55,0,0,0,0,1,2,0,10119,2009,30.4775,-88.1692,1
1,109,3,11,13,45,1,1,0,0,0,14,0,0,0,0,0,1,4,1,10120,2009,31.7722,-85.894,1
1,11,3,11,18,15,1,1,0,0,0,18,45,0,0,0,0,1,4,1,10121,2009,32.0739,-85.4961,1
1,51,3,12,11,10,1,1,0,0,0,11,15,0,0,0,0,1,5,0,10122,2009,32.5021,-86.1874,1
1,121,3,13,23,5,1,1,0,0,0,23,35,0,0,0,0,1,6,0,10123,2009,33.4036,-86.1937,1
1,17,3,13,19,49,1,2,0,1,0,19,50,0,0,0,0,2,6,0,10124,2009,32.8176,-85.217,1
1,3,3,13,23,30,1,1,0,0,0,15,5,0,18,0,0,1,6,0,10125,2009,30.9357,-87.6835,1
1,81,3,14,23,34,1,3,0,1,0,12,5,0,0,0,0,1,7,0,10126,2009,32.7048,-85.3106,2
1,15,3,15,8,7,2,3,0,0,0,8,18,0,14,0,0,1,1,0,10127,2009,33.6486,-85.6511,2
1,41,3,15,17,40,1,1,0,0,0,18,8,0,0,0,0,1,1,0,10128,2009,32.0251,-86.3682,1
