STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_TOTAL,PERSONS,PEDS,NHS,MAN_COLL,TRAF_FLO,SP_LIMIT,SUR_COND,HIT_RUN,ARR_HOUR,ARR_MIN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,YEAR,LATITUDE,LONGITUD,VE_FORMS,WEATHER
1,15,1,21,20,10,1,3,0,0,0,1,55,1,0,20,25,0,0,0,0,1,2,0,10038,2008,33.6412,-86.0263,1,1
1,33,1,26,7,58,2,2,1,1,0,3,65,2,0,0,0,0,19,14,23,1,7,0,10039,2008,34.7602,-88.083,1,1
1,53,1,27,3,40,1,1,0,0,0,1,55,2,0,3,56,0,0,0,0,1,1,1,10040,2008,31.0039,-87.0384,1,2
1,57,1,27,16,25,2,4,0,0,8,1,40,1,0,16,55,0,0,0,0,1,1,0,10041,2008,33.7072,-87.7179,2,1
1,115,1,27,1,50,1,1,0,0,0,1,55,1,0,2,15,0,0,0,0,1,1,1,10042,2008,33.8018,-86.3976,1,1
1,77,1,27,11,10,1,1,0,0,0,1,35,1,0,11,35,0,0,0,0,1,1,0,10043,2008,34.8183,-87.3038,1,1
1,127,1,30,1,40,1,1,0,0,0,1,45,1,0,1,53,0,0,0,0,1,4,0,10044,2008,33.893,-87.1244,1,1
1,101,1,30,14,0,1,2,0,1,0,3,70,1,0,14,12,0,0,0,0,1,4,0,10045,2008,32.2669,-86.3551,1,1
1,51,2,3,16,10,1,1,0,0,0,1,55,1,0,16,21,0,0,0,0,1,1,1,10046,2008,32.6445,-86.1229,1,1
1,121,2,3,0,4,1,1,0,0,0,1,40,1,0,0,8,0,20,0,0,1,1,1,10047,2008,33.5595,-86.1627,1,1
1,3,2,3,21,17,1,2,1,0,0,1,45,1,0,21,41,0,0,0,0,1,1,1,10048,2008,31.0124,-87.6236,1,1
1,101,1,10,20,15,2,2,0,1,1,3,45,2,0,20,28,0,0,0,0,1,5,0,10049,2008,32.368,-86.3001,2,2
1,51,2,6,7,5,2,2,0,1,2,1,55,2,0,7,34,0,0,0,0,1,4,0,10050,2008,32.6689,-86.2533,2,2
1,43,1,8,15,29,2,6,0,0,5,1,40,2,0,15,40,0,0,0,0,4,3,0,10051,2008,34.2493,-86.9974,2,2
1,3,2,6,8,0,1,3,0,0,0,1,55,2,0,8,30,0,0,0,0,1,4,0,10052,2008,31.122,-87.8246,1,1
1,125,2,8,20,7,1,1,0,0,0,1,25,1,0,20,30,0,0,0,0,1,6,1,10053,2008,33.2578,-87.0772,1,1
1,13,2,9,5,45,2,3,0,0,4,1,65,1,0,6,3,0,0,0,0,1,7,0,10054,2008,31.5634,-86.7369,2,5
1,83,1,13,1,20,1,2,1,1,0,2,70,1,0,1,33,0,0,0,0,1,1,0,10055,2008,34.689,-86.9254,1,1
1,127,2,9,17,20,1,1,0,1,0,1,55,1,0,17,30,0,0,0,0,1,7,0,10056,2008,33.8761,-87.4691,1,1
1,131,1,30,7,15,2,2,0,0,1,1,55,1,0,7,45,0,0,0,0,1,4,0,10057,2008,31.9469,-87.1552,2,1
1,53,2,11,17,10,1,3,0,0,0,1,45,1,0,17,15,0,0,0,0,1,2,1,10058,2008,31.2278,-87.1793,1,1
1,125,1,22,16,50,2,3,0,0,2,1,55,2,0,17,15,0,0,0,0,2,3,0,10059,2008,33.3786,-87.7001,2,2
1,1,2,14,7,50,2,3,0,0,5,1,50,1,0,8,0,0,0,0,0,1,5,0,10060,2008,32.7029,-86.4905,2,1
1,31,2,15,12,30,2,2,0,1,2,2,65,1,0,12,55,0,0,0,0,1,6,0,10061,2008,31.3993,-85.9707,2,1
1,107,1,26,22,15,1,2,0,0,0,1,45,1,0,22,32,0,0,0,0,1,7,1,10062,2008,33.1629,-88.1702,1,1
1,63,2,1,17,0,2,3,0,1,4,2,70,1,0,17,13,0,0,0,0,2,6,0,10063,2008,32.8739,-87.9162,2,1
1,101,2,2,16,0,1,1,0,0,0,1,55,1,0,16,30,0,0,0,0,1,7,1,10064,2008,32.1038,-86.4049,1,1
1,31,1,22,18,35,1,2,1,0,0,1,45,1,0,18,44,0,0,0,0,1,3,0,10065,2008,31.4255,-86.0814,1,1
1,73,2,8,12,20,2,4,0,0,5,3,45,1,0,12,32,0,0,0,0,1,6,0,10066,2008,33.4581,-86.9503,2,1
1,103,1,25,19,23,1,1,0,0,0,1,45,1,0,19,35,0,0,0,0,1,6,0,10067,2008,34.5408,-86.6854,1,1
1,79,2,12,8,30,2,3,0,1,5,2,55,1,0,8,50,0,0,0,0,1,3,0,10068,2008,34.5379,-87.1591,2,1
1,97,2,14,9,25,2,3,0,0,2,1,55,1,0,9,45,0,0,0,0,2,5,0,10069,2008,30.7194,-88.4042,2,1
1,59,1,15,21,50,1,15,0,0,0,1,55,1,0,22,22,0,0,0,0,1,3,0,10070,2008,34.3242,-87.5797,1,1
1,73,2,16,20,52,1,1,0,1,0,3,70,1,0,0,0,0,0,0,0,1,7,0,10071,2008,33.5593,-86.6399,1,1
1,69,1,26,18,14,1,2,0,0,0,1,45,2,0,18,19,0,20,0,0,1,7,0,10072,2008,31.2142,-85.5969,1,1
1,13,2,18,19,34,4,3,0,0,2,1,55,1,0,19,51,0,0,0,0,1,2,0,10073,2008,31.823,-86.8299,2,1
1,95,2,2,18,9,2,4,0,1,5,2,65,1,0,18,19,0,0,0,0,1,7,0,10074,2008,34.495,-86.3875,2,1
1,43,2,2,15,20,1,3,0,0,0,1,55,1,0,15,40,0,0,0,0,2,7,0,10075,2008,34.1263,-86.6803,1,1
1,15,2,5,19,30,2,2,0,1,5,2,65,1,0,19,40,0,0,0,0,1,3,0,10076,2008,33.7681,-85.7698,2,1
1,55,2,5,22,50,1,1,0,1,0,1,45,2,0,7,0,0,18,0,0,1,3,1,10077,2008,33.9827,-86.0688,1,2
1,57,2,18,12,5,2,2,0,0,5,1,55,1,0,12,11,0,0,0,0,1,2,0,10078,2008,33.7633,-87.7963,2,1
1,39,2,7,16,0,1,1,0,0,0,1,55,1,0,16,13,0,0,0,0,1,5,0,10079,2008,31.069,-86.4024,1,1
1,45,2,22,5,50,2,2,0,0,5,1,55,2,0,6,32,0,0,0,0,1,6,0,10080,2008,31.3094,-85.523,2,1
1,99,2,8,13,45,2,3,0,0,5,1,45,1,0,13,54,0,0,0,0,1,6,0,10081,2008,31.4669,-87.3399,2,1
1,85,2,24,20,0,1,2,1,1,0,2,70,1,0,20,20,0,0,0,0,1,1,0,10082,2008,32.2047,-86.412,1,1
1,113,2,4,12,8,3,5,0,1,1,2,45,1,0,12,14,0,0,0,0,1,2,0,10083,2008,32.4905,-85.0299,3,1
