REG_STAT,DEATHS,ST_CASE,WGTCD_TR,L_STATE,L_TYPE,L_STATUS,PREV_ACC,PREV_OTH
1,1,10116,,1,1,6,0,1
1,3,10117,1,1,1,6,2,0
1,0,10117,6,1,1,6,0,0
1,1,10118,,1,1,6,0,0
1,1,10119,,1,1,6,0,1
1,1,10119,,1,1,6,1,0
1,0,10120,,1,2,6,0,0
1,1,10121,2,1,1,6,1,0
92,0,10122,,1,0,0,99,99
1,1,10123,1,1,1,6,2,0
1,1,10124,1,1,1,6,0,0
1,1,10125,,1,1,2,0,0
1,0,10125,,1,1,6,1,0
1,0,10126,1,1,1,6,3,0
28,1,10126,,1,1,6,1,0
1,1,10127,,1,1,6,1,0
1,1,10128,,1,0,0,99,99
1,1,10129,,1,7,1,0,0
1,0,10129,2,1,1,6,1,0
92,1,10130,,1,1,2,0,0
1,0,10131,,1,1,1,0,0
13,1,10131,2,13,1,6,98,0
1,1,10132,1,1,1,6,2,0
1,0,10133,2,1,1,6,0,0
12,1,10133,,12,1,6,0,0
1,1,10134,8,1,1,6,0,0
1,1,10135,,1,1,6,0,0
1,1,10136,1,1,2,6,0,0
1,1,10137,,1,1,6,1,0
1,1,10138,,1,2,6,0,0
1,0,10138,,1,1,1,0,0
1,1,10139,,1,1,6,0,0
1,0,10139,8,1,1,6,1,0
1,1,10140,,1,1,6,0,0
1,0,10140,1,1,1,6,0,0
1,0,10140,,1,1,6,0,0
1,0,10140,,1,1,6,1,0
28,1,10141,,28,1,6,0,0
1,0,10141,1,1,1,6,1,0
28,0,10141,,28,1,6,0,0
1,1,10142,,1,1,6,0,0
1,0,10142,8,1,1,6,0,1
1,1,10143,,1,1,6,0,0
1,0,10143,7,1,1,6,0,0
92,1,10144,,1,1,6,0,1
1,2,10145,,1,2,6,0,0
0,1,10146,,1,0,0,0,0
1,1,10147,2,1,0,0,99,99
1,0,10147,1,1,1,6,1,0
1,1,10148,,1,1,6,0,0
1,0,10148,,1,1,6,0,0
92,1,10149,,28,0,0,99,99
1,1,10150,1,1,1,6,0,0
1,1,10151,1,1,1,6,2,1
1,1,10151,,1,1,6,0,0
1,1,10152,,1,1,6,0,0
92,1,10153,,1,1,2,1,0
1,1,10154,,1,0,0,99,99
1,1,10155,,1,1,6,0,0
1,0,10155,,1,1,6,0,0
1,0,10155,,1,1,6,0,0
1,1,10156,,1,1,6,0,0
13,0,10156,7,13,1,6,98,1
1,1,10157,8,1,1,6,0,1
1,1,10158,,1,1,6,1,0
1,1,10159,,1,1,6,0,0
1,0,10160,8,1,1,1,0,0
1,1,10160,,1,1,6,0,0
47,1,10161,3,47,2,6,0,0
92,1,10162,,1,0,0,0,1
1,1,10163,,1,1,6,0,0
1,0,10163,2,1,1,6,0,0
1,0,10164,8,1,1,6,0,0
47,1,10164,8,1,1,6,0,0
47,1,10165,,1,1,2,0,0
13,0,10166,8,13,1,6,98,0
1,1,10166,1,1,1,6,0,0
1,1,10167,2,1,1,6,1,0
1,1,10167,1,1,1,6,0,0
13,0,10168,8,13,1,6,98,1
1,1,10169,,1,2,6,0,0
1,0,10169,,1,1,6,2,0
1,1,10170,,1,1,6,0,0
1,1,10171,,1,2,6,0,0
1,0,10171,8,42,1,6,0,0
1,1,10172,2,1,1,6,1,0
1,2,10172,2,1,1,6,0,0
1,1,10173,,1,1,6,1,2
1,0,10173,,1,1,6,2,0
1,0,10173,1,1,1,6,0,0
1,0,10174,2,1,1,6,0,1
1,1,10174,1,1,1,6,0,0
1,1,10175,1,1,2,6,0,0
1,1,10176,,1,1,2,0,1
1,0,10176,,1,1,6,0,0
1,1,10177,,1,0,0,99,99
1,0,10177,1,1,1,6,0,0
1,1,10178,,1,1,6,2,2
1,0,10179,,1,1,6,1,1
13,1,10180,,13,0,0,98,0
12,0,10180,8,12,1,6,0,0
1,0,10180,,1,1,6,0,0
1,1,10182,1,1,1,1,1,0
1,1,10183,,1,1,6,0,1
13,1,10184,,13,1,6,98,0
1,1,10185,,1,1,6,0,0
1,0,10185,2,1,1,6,1,1
1,1,10186,2,1,1,6,0,0
1,1,10187,1,1,1,6,0,0
1,1,10188,,13,1,6,98,0
1,1,10189,,1,1,6,1,0
1,0,10189,,1,1,6,2,0
1,1,10190,1,1,1,6,1,1
28,2,10191,,37,1,1,0,1
1,0,10191,8,8,1,6,0,1
1,1,10192,,1,1,2,3,4
1,0,10192,,1,1,6,2,1
1,0,10193,,1,1,6,0,1
1,0,10193,1,1,1,6,0,0
1,1,10193,2,1,1,6,1,0
1,1,10194,1,1,7,6,0,0
1,1,10195,,28,1,6,0,0
1,1,10196,1,1,1,6,3,0
45,0,10196,8,37,1,6,0,2
1,0,10197,,1,1,6,0,0
1,1,10197,,1,1,6,0,0
1,1,10198,1,1,1,6,1,0
1,0,10199,2,1,1,6,0,0
1,0,10199,1,1,1,6,0,0
28,0,10200,8,28,1,6,0,0
1,1,10200,,1,1,6,1,0
1,0,10200,,1,1,6,0,0
22,0,10200,2,22,1,6,0,0
1,0,10200,2,1,1,6,0,0
1,1,10201,,1,2,6,0,0
99,0,10202,9,99,9,9,99,99
1,2,10203,,1,0,0,0,0
1,0,10203,,1,1,6,0,0
1,1,10204,1,1,1,6,0,0
1,1,10205,,1,1,6,1,0
1,0,10205,1,1,1,6,0,0
1,1,10206,,1,1,6,0,0
92,0,10206,8,28,1,6,0,0
1,1,10207,,1,1,1,0,0
1,0,10208,,1,1,6,1,0
1,0,10208,1,1,1,6,3,0
1,1,10209,,1,1,1,1,1
1,0,10209,2,1,1,6,0,0
1,0,10210,2,1,1,6,0,0
1,2,10210,,1,1,6,0,0
1,1,10211,,1,2,6,0,0
48,0,10211,2,48,1,6,0,0
1,1,10212,,1,1,6,0,0
1,1,10213,,1,1,6,0,0
1,1,10214,,37,0,0,0,0
18,1,10215,7,1,1,6,2,0
92,1,10216,2,1,1,6,1,0
13,1,10217,1,13,1,6,98,0
1,1,10218,1,1,1,6,0,0
1,0,10219,2,1,1,6,0,1
1,0,10219,2,1,1,4,0,1
1,1,10220,,1,1,6,0,0
1,0,10220,1,1,1,6,0,0
1,0,10221,,1,1,6,0,0
1,1,10221,,1,1,6,0,0
1,1,10222,,1,1,1,0,0
1,0,10223,,1,1,6,1,0
1,1,10224,,1,1,2,0,0
92,1,10225,,12,1,1,0,0
1,1,10226,,1,1,6,0,0
1,1,10227,,1,2,6,0,0
1,0,10228,8,1,1,6,0,2
92,1,10228,9,1,1,6,1,0
1,1,10229,,1,1,6,0,0
1,0,10229,,1,1,6,0,0
92,1,10230,,1,1,6,0,0
1,0,10230,,1,1,6,0,0
1,1,10231,,1,1,6,0,0
1,0,10231,,1,1,6,0,0
1,1,10232,2,1,1,6,0,0
1,0,10232,8,1,1,6,1,4
1,1,10233,,1,1,6,0,0
1,1,10233,,1,1,6,1,0
1,1,10234,,1,1,6,0,0
1,0,10234,,1,1,6,0,0
1,1,10235,,1,1,1,1,0
1,0,10235,,1,1,6,0,0
1,0,10235,8,1,1,6,0,0
1,1,10236,,1,1,2,1,1
1,1,10237,,1,1,6,0,0
1,0,10237,,1,1,6,0,0
1,0,10238,1,1,1,6,1,1
1,1,10238,,1,1,1,0,1
1,0,10238,,1,1,6,1,0
1,1,10239,,1,1,6,1,0
1,0,10240,,1,2,6,0,0
12,2,10240,2,12,1,6,0,0
47,1,10240,2,47,7,6,0,0
1,1,10241,1,1,1,6,1,0
1,1,10242,,1,2,6,0,0
1,1,10243,1,1,1,1,0,0
1,1,10244,,1,0,0,99,99
1,1,10245,,1,1,6,0,0
1,1,10246,,1,1,6,0,0
1,0,10246,7,1,1,6,0,0
1,1,10247,,1,1,6,1,0
1,0,10247,,1,1,6,0,0
1,1,10248,1,1,1,6,0,1
1,1,10249,2,1,1,2,0,0
21,0,10250,3,55,1,6,0,0
1,1,10250,,1,1,6,0,0
1,1,10251,,1,1,6,0,1
1,0,10251,,1,1,6,0,0
1,0,10252,,1,1,6,1,0
1,0,10252,2,1,1,6,1,0
1,0,10252,2,1,1,6,0,0
1,1,10252,,1,1,6,0,0
1,3,10253,,1,1,1,1,1
1,0,10253,8,1,1,6,2,3
1,1,10254,2,1,1,6,0,0
1,0,10255,1,1,0,0,99,99
1,1,10255,,1,1,6,0,0
1,1,10256,1,1,0,0,99,99
1,0,10256,,1,2,6,0,0
1,1,10257,,1,1,1,0,0
1,0,10258,,1,1,6,0,0
1,1,10259,,1,2,6,0,0
1,0,10260,8,1,1,6,0,0
1,1,10261,,1,1,1,0,0
1,1,10262,,1,1,6,0,0
1,0,10262,8,1,1,6,0,0
92,1,10263,8,28,1,6,0,0
1,1,10264,,1,1,6,0,0
47,0,10264,8,1,1,6,0,0
1,1,10265,,1,1,1,99,99
18,1,10266,,1,1,1,0,0
1,1,10267,,1,1,6,2,0
1,1,10268,,1,1,6,0,0
1,0,10268,7,1,1,6,0,1
1,1,10269,,1,1,2,0,0
1,0,10269,2,1,1,6,1,0
1,0,10270,,1,1,6,0,0
1,1,10270,,1,1,6,0,0
1,1,10271,,1,1,6,1,0
1,0,10272,,1,1,6,1,0
1,1,10272,,1,1,6,0,0
1,1,10273,,1,2,6,0,0
1,1,10274,,1,1,6,2,0
13,1,10275,9,1,0,0,0,0
1,1,10276,,1,1,6,0,0
1,0,10276,,1,1,6,0,0
1,1,10277,,1,1,6,2,0
1,1,10278,1,1,0,0,0,0
1,1,10279,,1,1,6,0,0
1,0,10280,,99,9,9,99,99
1,1,10281,,1,1,1,0,2
1,1,10282,,1,1,6,0,5
1,1,10283,1,1,2,6,0,0
47,2,10284,,47,1,6,0,0
1,1,10285,,1,1,1,0,0
1,0,10286,4,1,1,1,1,1
1,1,10286,,1,1,6,0,0
1,1,10287,2,1,1,6,1,0
1,0,10287,,1,1,6,0,0
1,2,10288,,1,1,1,0,1
1,1,10289,,1,2,6,0,0
1,1,10290,,1,1,6,0,0
1,1,10291,,1,1,6,1,0
1,1,10291,,1,1,6,0,0
1,0,10292,9,1,1,6,0,0
21,0,10292,,21,1,6,0,0
42,1,10292,1,42,0,0,99,99
1,1,10293,,1,1,6,0,0
1,1,10294,1,1,1,3,1,0
1,1,10295,1,1,1,6,0,0
1,1,10296,,1,1,6,0,0
1,1,10297,,1,1,6,1,0
9,0,10297,8,9,1,6,98,1
1,1,10298,2,1,1,6,0,0
1,0,10298,8,1,1,6,1,0
1,0,10298,,1,1,6,0,0
1,0,10299,1,1,1,6,0,1
1,1,10299,,1,1,6,2,0
1,1,10300,,1,2,6,1,0
93,0,10301,8,1,1,6,1,0
92,1,10301,,45,1,6,0,0
1,1,10302,,1,1,6,0,0
1,0,10302,,1,1,6,0,0
13,0,10302,2,13,1,6,98,0
92,1,10303,,1,1,6,0,0
1,1,10304,,1,1,6,0,0
1,2,10304,,1,1,6,0,0
1,1,10305,,1,1,6,1,0
1,1,10306,,1,1,6,0,0
1,0,10306,,1,1,1,1,1
1,0,10307,,1,1,6,0,0
1,1,10308,,1,1,6,0,0
1,1,10309,,1,1,6,1,0
1,0,10309,8,1,1,6,0,0
1,2,10310,,1,1,2,0,0
1,1,10311,1,1,1,6,1,1
1,1,10312,2,1,1,6,0,0
1,1,10313,,1,1,6,0,0
1,0,10314,2,1,1,6,1,0
1,1,10315,,1,2,6,0,0
1,1,10316,,1,1,6,0,0
1,1,10317,1,1,1,1,0,0
1,0,10318,,1,1,2,0,0
1,1,10318,,1,1,6,0,0
92,1,10319,,1,1,6,0,0
1,0,10320,,1,1,1,0,0
1,1,10320,,1,1,6,1,0
1,1,10321,,1,0,0,99,99
1,1,10322,,1,1,6,0,0
1,0,10323,2,1,2,6,1,0
1,1,10323,,1,1,6,0,0
1,1,10324,7,1,1,6,0,0
1,1,10325,,1,1,6,0,0
1,0,10326,,1,1,6,1,0
1,1,10326,,1,1,6,0,0
1,0,10326,1,1,1,6,0,0
1,0,10326,,1,1,1,0,0
1,1,10327,,1,2,6,0,0
1,1,10328,,1,2,6,0,0
1,1,10329,,1,1,6,2,0
1,0,10329,,1,1,6,0,0
1,1,10330,2,1,0,0,0,0
1,1,10330,,1,1,6,0,0
1,1,10331,,1,1,6,0,0
1,1,10332,8,1,1,6,2,0
1,1,10333,,1,1,2,0,1
48,2,10334,,48,1,6,0,0
17,0,10334,8,13,1,6,98,0
1,2,10335,,1,1,6,0,0
28,1,10336,,28,1,6,0,0
1,0,10336,1,1,1,6,0,0
1,0,10336,1,1,1,6,0,0
1,0,10336,,1,1,6,0,0
1,0,10336,,1,1,6,0,1
0,1,10337,,1,1,6,1,0
0,0,10337,,1,1,6,0,0
99,0,10338,9,99,9,9,99,99
1,1,10339,,1,1,6,0,0
1,1,10340,,1,1,1,1,0
1,1,10341,,1,1,6,0,0
1,1,10342,,1,1,6,0,0
1,1,10343,1,1,1,6,1,0
1,1,10344,,1,1,6,2,0
1,0,10345,,1,1,6,0,0
1,1,10345,,1,1,6,2,2
1,1,10346,,1,1,2,0,1
1,0,10346,8,1,1,6,1,0
1,1,10347,,1,1,6,0,0
1,0,10348,1,1,1,6,2,0
1,1,10348,,1,1,6,0,0
12,0,10348,,12,1,6,0,0
13,1,10349,,12,0,0,99,99
1,0,10349,,1,1,6,0,0
1,2,10350,,1,1,6,1,0
13,1,10350,,13,1,6,98,0
47,1,10351,1,1,0,0,0,0
1,0,10352,,1,7,6,0,0
1,1,10352,,1,1,1,0,0
92,1,10353,,28,1,6,0,0
1,1,10354,,12,1,6,0,0
1,0,10355,,1,0,0,99,99
1,1,10355,,1,1,6,0,0
1,2,10356,,1,1,6,0,0
1,1,10356,,1,1,6,0,0
1,0,10357,,1,1,6,1,0
1,0,10358,8,1,1,6,1,0
1,1,10358,,1,1,1,2,0
1,1,10359,,1,0,0,99,99
1,1,10360,,1,1,2,0,0
1,1,10361,,1,1,6,0,0
1,1,10362,,1,1,6,1,0
1,0,10362,1,1,1,6,0,0
1,0,10362,2,1,1,6,2,0
1,1,10363,,1,1,6,0,2
47,4,10364,2,47,1,6,0,0
1,1,10365,,1,1,6,0,0
1,1,10366,,1,1,6,0,2
28,0,10367,9,28,1,6,0,0
1,1,10368,2,1,1,6,0,0
13,0,10369,,13,1,3,98,0
47,1,10369,,13,1,1,98,0
1,1,10370,1,1,1,1,0,0
1,1,10371,,1,1,6,0,0
1,0,10371,,1,1,6,1,0
1,1,10372,,1,1,6,1,0
1,1,10373,1,1,1,6,0,0
