VEH_NO,PER_NO,AGE,SEX,REST_USE,ST_CASE,BODY_TYP
1,1,42,1,99,61421,31
2,1,36,1,3,61421,20
2,2,1,1,4,61421,20
2,3,5,1,4,61421,20
2,4,37,2,3,61421,20
1,1,70,1,3,61422,30
2,1,28,1,3,61422,4
1,1,31,1,3,61423,2
2,1,18,2,3,61423,4
2,2,48,2,3,61423,4
1,1,28,1,99,61424,4
1,1,21,1,3,61425,4
1,2,20,1,3,61425,4
1,1,51,1,3,61426,4
1,1,23,1,0,61427,30
1,1,25,1,0,61428,2
1,1,52,1,5,61429,80
1,2,34,2,5,61429,80
1,1,19,2,3,61430,14
1,2,19,1,0,61430,14
1,3,22,2,3,61430,14
1,1,20,1,3,61431,5
2,1,48,2,3,61431,14
2,2,25,1,0,61431,14
3,1,46,2,3,61431,2
3,2,24,2,3,61431,2
1,1,53,1,0,61432,80
1,1,43,1,3,61433,4
2,1,29,1,3,61433,2
0,1,4,2,0,61434,
1,1,22,1,3,61434,2
1,1,26,1,0,61435,30
0,1,87,1,0,61436,
1,1,29,1,3,61436,4
1,1,63,1,3,61437,14
2,1,34,1,3,61437,66
2,2,9,2,3,61437,66
3,1,66,1,5,61437,80
1,1,36,1,3,61438,30
2,1,52,1,3,61438,31
1,1,17,1,3,61439,20
2,1,50,1,5,61439,80
3,1,36,2,3,61439,4
3,2,14,2,3,61439,4
3,3,10,1,2,61439,4
3,4,11,1,3,61439,4
3,5,9,1,3,61439,4
1,1,17,2,3,61440,30
2,1,37,1,5,61440,80
2,2,34,2,5,61440,80
1,1,17,1,3,61441,4
1,2,17,1,3,61441,4
0,1,49,1,0,61442,
0,2,63,1,0,61442,
1,1,38,2,3,61442,4
3,1,46,1,0,61442,30
1,1,70,2,0,61443,20
1,1,38,1,3,61444,30
2,1,19,1,0,61444,80
1,1,19,1,0,61445,2
1,2,19,1,2,61445,2
0,1,41,2,0,61446,
1,1,99,9,99,61446,99
1,1,15,1,3,61447,4
1,2,12,1,2,61447,4
1,3,14,1,3,61447,4
1,4,15,1,3,61447,4
1,5,16,1,3,61447,4
1,1,49,1,3,61448,31
2,1,55,1,2,61448,92
1,1,18,1,3,61449,4
1,2,18,1,99,61449,4
1,3,18,1,99,61449,4
1,4,18,1,99,61449,4
1,5,18,1,99,61449,4
1,1,19,1,99,61450,3
1,1,73,2,0,61451,5
2,1,18,1,3,61451,31
1,1,39,1,5,61452,90
1,1,19,1,99,61453,2
1,2,17,1,99,61453,2
1,3,14,1,99,61453,2
2,1,35,1,99,61453,14
2,2,13,1,99,61453,14
1,1,75,1,3,61454,4
1,1,45,1,3,61455,4
2,1,46,1,3,61455,4
1,1,49,1,1,61456,20
1,1,23,1,3,61457,2
1,2,19,2,3,61457,2
1,3,0,1,4,61457,2
2,1,37,1,3,61457,4
2,2,15,1,3,61457,4
2,3,14,1,3,61457,4
1,1,48,1,1,61458,3
1,1,26,1,5,61459,80
1,1,38,2,3,61460,1
0,1,47,2,0,61461,
1,1,67,1,3,61461,31
1,2,63,2,3,61461,31
2,1,53,1,99,61461,52
1,1,43,1,5,61462,80
1,1,20,1,0,61463,2
1,1,52,1,5,61464,80
1,1,54,1,3,61465,31
2,1,83,2,3,61465,31
2,2,59,2,3,61465,31
0,1,81,2,0,61466,
1,1,47,1,99,61466,31
0,1,24,2,0,61467,
0,2,7,1,0,61467,
0,3,0,1,0,61467,
1,1,25,1,3,61467,4
1,2,25,1,99,61467,4
1,1,23,2,5,61468,80
1,1,59,1,0,61469,4
1,1,55,1,99,61470,4
0,1,35,2,0,61471,
1,1,99,9,99,61471,99
1,1,45,2,0,61472,14
0,1,59,2,0,61473,
1,1,43,1,2,61473,52
1,1,72,2,3,61474,20
1,2,73,2,3,61474,20
2,1,62,1,5,61474,80
1,1,18,1,0,61475,62
1,2,26,1,3,61475,62
2,1,64,1,3,61475,2
2,2,41,2,3,61475,2
1,1,17,1,3,61476,2
1,1,17,1,3,61477,31
2,1,59,2,3,61477,4
2,2,92,2,3,61477,4
2,3,85,2,3,61477,4
1,1,44,1,0,61478,30
1,1,23,1,3,61479,62
2,1,33,1,5,61479,80
1,1,55,1,3,61480,31
2,1,63,1,3,61480,14
2,2,60,2,99,61480,14
1,1,24,1,5,61481,80
2,1,47,2,3,61481,14
1,1,62,1,99,61482,1
1,2,64,1,99,61482,1
2,1,43,1,3,61482,31
0,1,32,1,0,61483,
1,1,38,1,3,61483,14
1,1,21,1,3,61484,2
1,2,24,2,3,61484,2
2,1,30,1,5,61484,80
1,1,29,1,5,61485,80
1,1,75,1,99,61486,66
1,1,37,1,5,61487,80
1,1,16,2,3,61488,4
2,1,57,2,3,61488,31
1,1,21,1,0,61489,2
2,1,62,1,3,61489,14
0,1,64,1,0,61490,
1,1,24,1,3,61490,4
1,1,19,1,3,61491,31
1,2,18,1,3,61491,31
1,1,28,1,3,61492,1
1,2,32,1,3,61492,1
1,1,36,1,0,61493,6
1,1,27,1,3,61494,14
1,2,33,1,99,61494,14
0,1,76,1,0,61495,
1,1,27,1,3,61495,31
1,2,25,1,3,61495,31
1,1,21,1,3,61496,4
1,2,21,1,0,61496,4
1,3,17,2,3,61496,4
1,4,20,1,0,61496,4
1,1,53,1,0,61497,2
1,1,20,1,0,61498,4
1,1,59,1,3,61499,4
2,1,54,1,99,61499,31
1,1,27,2,0,61500,14
2,1,50,1,3,61500,63
2,2,21,1,3,61500,63
0,1,70,2,0,61501,
1,1,75,2,3,61501,4
1,2,78,1,3,61501,4
1,1,18,1,3,61502,4
1,2,15,2,3,61502,4
2,1,29,1,3,61502,14
3,1,61,2,3,61502,31
3,2,51,1,3,61502,31
3,3,46,2,3,61502,31
3,4,40,2,3,61502,31
3,5,10,2,3,61502,31
1,1,26,1,0,61503,14
1,2,23,2,3,61503,14
1,1,18,1,3,61504,2
1,2,39,2,3,61504,2
1,3,21,1,3,61504,2
1,4,18,1,3,61504,2
0,1,2,1,0,61505,
1,1,16,2,99,61505,31
1,1,44,2,0,61506,14
1,2,11,2,3,61506,14
2,1,22,2,3,61506,4
0,1,58,2,0,61507,
1,1,25,1,3,61507,31
1,1,43,1,3,61508,30
1,1,24,1,3,61509,30
1,2,19,2,0,61509,30
2,1,24,1,99,61509,31
0,1,55,2,0,61510,
0,2,15,1,0,61510,
1,1,43,1,3,61510,30
1,1,38,2,3,61511,4
1,2,12,1,3,61511,4
1,3,10,2,3,61511,4
2,1,60,1,3,61511,66
2,2,28,1,0,61511,66
0,1,26,1,0,61512,
1,1,42,2,3,61512,15
1,2,20,1,3,61512,15
1,3,38,1,3,61512,15
1,1,21,1,3,61513,21
1,2,27,1,3,61513,21
1,3,22,1,0,61513,21
2,1,42,1,3,61513,2
2,2,51,1,3,61513,2
1,1,56,2,3,61514,4
1,1,23,1,3,61515,30
1,2,19,1,3,61515,30
1,1,27,1,0,61516,90
1,1,26,2,3,61517,2
1,1,89,1,3,61518,20
1,2,74,2,3,61518,20
2,1,53,2,3,61518,15
1,1,99,1,99,61519,4
1,2,55,1,0,61519,4
1,3,26,1,99,61519,4
0,1,34,2,0,61520,
1,1,99,9,99,61520,99
2,1,42,1,3,61520,30
0,1,63,1,0,61521,
1,1,26,1,3,61521,4
1,2,25,2,3,61521,4
1,1,20,1,3,61522,21
2,1,75,1,3,61522,20
2,2,41,2,3,61522,20
2,3,78,2,99,61522,20
2,4,48,1,99,61522,20
2,5,79,2,99,61522,20
1,1,93,2,3,61523,3
2,1,45,2,3,61523,15
1,1,30,2,0,61524,20
2,1,46,1,3,61524,4
1,1,21,2,3,61525,4
1,2,16,2,3,61525,4
1,3,0,1,4,61525,4
2,1,48,1,3,61525,31
0,1,68,2,0,61526,
1,1,50,2,3,61526,4
1,2,65,2,3,61526,4
1,1,43,1,3,61527,1
1,1,18,1,3,61528,4
1,1,18,2,3,61529,2
1,2,19,2,3,61529,2
2,1,41,2,3,61529,30
1,1,39,1,0,61530,15
1,1,16,1,0,61531,2
1,1,21,1,3,61532,4
1,2,24,1,0,61532,4
2,1,19,1,3,61532,4
1,1,85,1,3,61533,4
1,2,86,2,3,61533,4
2,1,54,1,2,61533,59
3,1,42,1,3,61533,2
3,2,36,2,3,61533,2
1,1,23,1,5,61534,80
2,1,69,1,3,61534,20
1,1,24,1,0,61535,31
1,1,24,1,3,61536,14
1,2,45,2,3,61536,14
1,3,28,2,99,61536,14
1,1,30,1,99,61537,66
2,1,22,1,3,61537,15
2,2,24,2,3,61537,15
2,3,16,1,3,61537,15
2,4,20,1,3,61537,15
1,1,34,1,3,61538,4
2,1,39,1,3,61538,66
0,1,69,2,0,61539,
1,1,44,1,3,61539,31
1,1,20,1,3,61540,3
1,2,16,2,0,61540,3
1,3,18,2,3,61540,3
1,4,17,1,3,61540,3
0,1,22,1,0,61541,
1,1,18,2,3,61541,4
1,1,88,2,3,61542,4
1,2,81,2,3,61542,4
2,1,25,1,3,61542,31
1,1,25,1,3,61543,30
2,1,28,1,3,61543,31
3,1,41,2,3,61543,4
1,1,39,1,0,61544,31
2,1,31,1,3,61544,4
2,2,0,1,0,61544,4
2,3,29,2,0,61544,4
2,4,13,1,0,61544,4
2,5,6,1,0,61544,4
2,6,10,1,0,61544,4
1,1,23,1,3,61545,4
1,2,22,1,0,61545,4
1,3,20,1,0,61545,4
1,1,46,1,3,61546,4
1,1,60,1,5,61547,80
1,1,94,2,0,61548,4
1,1,33,1,5,61549,80
1,2,13,1,5,61549,80
0,1,76,1,0,61550,
1,1,33,1,3,61550,4
1,1,56,2,3,61551,14
2,1,21,2,3,61551,4
2,2,65,2,0,61551,4
2,3,66,1,3,61551,4
3,1,21,2,3,61551,4
4,1,26,2,3,61551,4
4,2,13,2,3,61551,4
1,1,68,1,0,61552,30
1,1,33,1,3,61553,61
2,1,47,1,3,61553,2
1,1,29,1,0,61554,4
2,1,43,1,3,61554,31
2,2,99,1,3,61554,31
2,3,35,1,3,61554,31
2,4,32,1,3,61554,31
1,1,18,2,3,61555,30
1,2,13,2,3,61555,30
2,1,47,1,3,61555,66
1,1,25,1,3,61556,31
1,2,46,1,0,61556,31
1,3,31,1,0,61556,31
1,4,16,1,0,61556,31
2,1,59,2,0,61556,30
2,2,14,1,99,61556,30
1,1,27,2,3,61557,15
2,1,45,2,3,61557,1
2,2,16,2,3,61557,1
0,1,46,1,0,61558,
1,1,99,9,99,61558,99
1,1,75,1,0,61559,30
1,1,19,1,3,61560,3
1,2,20,2,0,61560,3
1,1,36,1,3,61561,14
1,2,39,1,3,61561,14
1,3,35,2,3,61561,14
1,4,6,1,2,61561,14
1,5,10,1,3,61561,14
1,6,23,1,3,61561,14
1,1,47,1,3,61562,14
1,1,48,1,3,61563,30
1,1,50,1,0,61564,9
1,2,46,2,0,61564,9
2,1,33,2,3,61564,2
1,1,57,1,99,61565,66
2,1,41,1,3,61565,66
3,1,41,1,3,61565,4
3,2,33,2,3,61565,4
3,3,10,2,3,61565,4
3,4,13,1,3,61565,4
1,1,20,1,3,61566,4
1,1,70,2,3,61567,20
1,2,63,2,3,61567,20
1,3,80,2,3,61567,20
1,4,82,2,3,61567,20
1,5,60,2,0,61567,20
1,6,60,2,0,61567,20
1,7,46,2,0,61567,20
1,1,30,1,5,61568,80
1,1,27,1,3,61569,30
1,2,32,2,2,61569,30
2,1,21,1,5,61569,80
2,2,20,2,5,61569,80
1,1,36,1,0,61570,4
2,1,41,1,3,61570,30
0,1,67,2,0,61571,
1,1,44,2,3,61571,20
1,2,12,2,3,61571,20
1,3,11,2,3,61571,20
1,1,21,1,0,61572,31
1,1,44,1,3,61573,31
2,1,4,2,0,61573,2
2,2,3,1,0,61573,2
2,3,6,2,0,61573,2
1,1,45,1,1,61574,31
1,2,36,1,3,61574,31
1,1,17,2,3,61575,4
1,2,31,1,0,61575,4
1,3,20,1,3,61575,4
1,4,17,2,3,61575,4
1,1,47,1,99,61576,31
0,1,74,2,0,61577,
1,1,53,1,3,61577,4
1,2,48,2,3,61577,4
0,1,28,1,0,61578,
1,1,51,1,3,61578,66
1,1,24,2,3,61579,14
1,2,59,1,3,61579,14
1,3,30,1,0,61579,14
1,4,31,2,0,61579,14
1,5,41,1,0,61579,14
1,6,41,2,0,61579,14
1,7,15,1,0,61579,14
1,8,11,1,0,61579,14
1,1,68,1,0,61580,30
1,2,40,1,3,61580,30
1,1,27,2,0,61581,2
1,2,32,1,3,61581,2
1,3,32,1,0,61581,2
1,4,21,2,0,61581,2
2,1,48,1,3,61581,15
2,2,44,2,3,61581,15
2,3,19,2,3,61581,15
2,4,7,1,4,61581,15
1,1,31,1,3,61582,31
2,1,42,1,0,61582,2
1,1,23,1,5,61583,80
1,1,18,1,3,61584,1
1,2,56,1,99,61584,1
2,1,56,1,5,61584,80
1,1,19,1,3,61585,14
1,2,19,1,3,61585,14
1,3,17,1,99,61585,14
1,1,31,1,0,61586,31
1,1,17,1,3,61587,4
1,2,14,2,3,61587,4
1,1,62,1,3,61588,31
0,1,2,1,0,61589,
1,1,19,1,99,61589,14
0,1,39,2,0,61590,
1,1,18,1,3,61590,6
1,2,17,2,3,61590,6
1,1,18,2,3,61591,14
1,2,18,2,3,61591,14
1,3,18,2,3,61591,14
1,4,17,2,3,61591,14
2,1,99,9,99,61591,99
1,1,18,1,0,61592,4
1,1,46,1,5,61593,80
1,1,33,1,0,61594,14
1,1,31,1,3,61595,14
1,2,35,1,3,61595,14
1,3,28,1,0,61595,14
1,1,23,1,5,61596,80
1,1,22,1,3,61597,3
0,1,55,2,0,61598,
1,1,47,2,0,61599,14
1,1,69,1,3,61600,4
1,2,65,2,3,61600,4
2,1,21,2,99,61600,4
0,1,19,1,0,61601,
1,1,99,9,99,61601,30
1,1,19,1,3,61602,2
1,2,2,1,3,61602,2
2,1,39,1,3,61602,4
2,2,28,2,3,61602,4
1,1,50,1,5,61603,80
2,1,54,2,3,61603,31
2,2,22,2,2,61603,31
2,3,21,1,3,61603,31
2,4,28,1,3,61603,31
1,1,25,2,1,61604,4
1,2,22,1,1,61604,4
1,3,2,2,4,61604,4
2,1,28,1,3,61604,16
3,1,69,1,3,61604,4
3,2,62,2,3,61604,4
1,1,21,1,3,61605,2
2,1,50,1,3,61605,63
1,1,72,1,3,61606,4
2,1,45,2,3,61606,4
2,2,10,2,0,61606,4
0,1,40,1,0,61607,
1,1,26,1,3,61607,14
1,1,32,2,3,61608,14
1,2,11,2,0,61608,14
1,1,44,1,0,61609,4
1,1,72,2,3,61610,4
1,1,32,1,3,61611,66
2,1,24,1,5,61611,80
1,1,57,1,3,61612,2
2,1,34,1,3,61612,1
3,1,55,1,3,61612,6
4,1,37,1,5,61612,80
5,1,56,1,3,61612,20
5,2,99,1,99,61612,20
6,1,28,1,3,61612,14
7,1,22,1,3,61612,21
7,2,99,9,99,61612,21
7,3,99,9,99,61612,21
7,4,99,9,99,61612,21
8,1,53,2,3,61612,4
9,1,59,1,3,61612,21
1,1,24,1,5,61613,80
1,1,59,1,5,61614,80
1,1,18,1,3,61615,4
1,2,15,1,3,61615,4
2,1,75,1,3,61615,4
2,2,63,2,3,61615,4
3,1,67,1,3,61615,20
3,2,40,2,3,61615,20
3,3,39,1,3,61615,20
4,1,77,2,3,61615,14
4,2,49,1,3,61615,14
1,1,47,2,3,61616,14
1,1,18,1,99,61617,31
1,2,19,1,0,61617,31
1,3,19,1,0,61617,31
1,4,21,1,0,61617,31
1,5,19,2,0,61617,31
1,1,22,1,0,61618,31
1,2,17,1,0,61618,31
1,1,16,1,3,61619,4
1,2,15,1,3,61619,4
1,1,27,2,3,61620,14
1,2,3,2,4,61620,14
2,1,21,1,5,61620,80
1,1,26,1,3,61621,3
2,1,52,1,0,61621,66
1,1,43,1,2,61622,31
1,1,17,2,3,61623,4
1,1,52,2,3,61624,30
1,1,62,2,3,61625,6
2,1,29,1,3,61625,66
1,1,56,1,3,61626,2
1,1,59,1,5,61627,80
1,1,22,1,99,61628,63
2,1,25,2,3,61628,4
2,2,7,2,4,61628,4
2,3,2,2,4,61628,4
2,4,27,1,3,61628,4
3,1,37,2,3,61628,20
3,2,13,1,3,61628,20
3,3,16,1,3,61628,20
3,4,16,1,3,61628,20
3,5,9,1,3,61628,20
3,6,14,1,99,61628,20
4,1,53,2,3,61628,31
5,1,70,1,3,61628,4
6,1,73,1,3,61628,30
7,1,45,1,3,61628,20
0,1,56,1,0,61629,
1,1,37,1,3,61629,4
1,1,46,1,3,61630,2
2,1,57,2,3,61630,4
0,1,7,2,0,61631,
1,1,29,2,3,61631,4
1,2,6,1,4,61631,4
1,1,48,1,3,61632,4
1,2,44,2,3,61632,4
2,1,49,1,3,61632,4
2,2,69,1,3,61632,4
2,3,61,2,3,61632,4
0,1,52,1,0,61633,
0,2,19,1,0,61633,
1,1,28,1,0,61633,20
1,1,25,2,3,61634,4
1,2,26,1,0,61634,4
1,3,33,1,3,61634,4
0,1,58,1,0,61635,
1,1,17,2,3,61635,4
1,2,18,2,3,61635,4
0,1,57,1,0,61636,
1,1,24,1,3,61636,14
1,2,23,1,99,61636,14
1,1,18,1,3,61637,2
1,1,21,1,3,61638,30
1,2,33,1,99,61638,30
1,3,27,1,99,61638,30
2,1,45,2,3,61638,4
2,2,26,2,3,61638,4
1,1,18,2,3,61639,16
1,2,12,2,99,61639,16
1,3,11,2,99,61639,16
1,4,11,2,99,61639,16
1,5,15,1,99,61639,16
2,1,29,1,3,61639,4
2,2,30,2,0,61639,4
2,3,5,2,4,61639,4
1,1,17,1,3,61640,31
1,2,17,1,3,61640,31
1,3,13,1,3,61640,31
2,1,59,2,0,61640,2
2,2,4,2,4,61640,2
2,3,11,1,3,61640,2
3,1,26,1,3,61640,14
0,1,23,1,0,61641,
1,1,99,9,99,61641,99
0,1,27,1,0,61642,
1,1,99,9,99,61642,99
1,1,31,1,3,61643,31
2,1,33,1,3,61643,66
3,1,28,2,3,61643,3
3,2,6,2,4,61643,3
3,3,0,2,4,61643,3
0,1,30,1,0,61644,
1,1,17,1,0,61645,4
1,1,43,1,0,61646,2
1,1,18,1,3,61647,4
1,2,18,1,3,61647,4
0,1,51,1,0,61648,
1,1,99,9,99,61648,99
1,1,23,1,0,61649,2
1,1,36,1,3,61650,4
1,2,87,1,3,61650,4
2,1,61,1,3,61650,63
1,1,54,1,0,61651,80
2,1,69,1,3,61651,30
1,1,26,1,3,61652,15
2,1,82,2,3,61652,2
2,2,48,1,3,61652,2
1,1,23,1,0,61653,5
1,2,44,1,0,61653,5
0,1,23,1,0,61654,
1,1,23,1,3,61654,4
1,2,18,1,3,61654,4
0,1,29,2,0,61655,
1,1,49,1,3,61655,8
1,2,45,2,3,61655,8
1,3,60,1,3,61655,8
2,1,43,1,3,61655,4
2,2,43,2,3,61655,4
2,3,6,2,3,61655,4
2,4,5,2,4,61655,4
1,1,29,2,0,61656,4
1,1,30,1,0,61657,4
0,1,35,1,0,61658,
1,1,45,1,3,61658,21
1,1,20,1,3,61659,30
2,1,20,1,99,61659,2
2,2,20,1,99,61659,2
1,1,19,1,3,61660,31
1,2,18,2,0,61660,31
1,3,16,1,3,61660,31
1,4,19,1,3,61660,31
1,1,27,1,5,61661,80
1,1,51,1,3,61662,14
1,2,56,2,3,61662,14
1,3,2,2,0,61662,14
2,1,16,1,3,61662,31
2,2,14,2,3,61662,31
1,1,24,1,3,61663,15
1,2,26,1,0,61663,15
1,3,18,1,0,61663,15
1,4,19,2,3,61663,15
1,5,27,2,3,61663,15
1,6,7,2,2,61663,15
1,7,5,2,0,61663,15
1,8,28,1,0,61663,15
2,1,38,1,3,61663,66
3,1,22,2,3,61663,4
0,1,73,2,0,61664,
1,1,88,1,3,61664,4
1,1,65,1,3,61665,31
2,1,17,1,3,61665,4
1,1,39,2,3,61666,14
1,2,45,1,3,61666,14
1,3,17,1,0,61666,14
1,1,42,2,15,61667,80
0,1,47,1,0,61668,
1,1,21,1,3,61668,4
1,1,68,1,3,61669,4
1,1,90,2,99,61670,4
0,1,75,1,0,61671,
1,1,48,1,3,61671,31
1,1,84,1,3,61672,4
1,2,83,2,3,61672,4
2,1,44,2,3,61672,4
3,1,45,1,3,61672,31
1,1,19,2,3,61673,14
2,1,56,2,3,61673,2
1,1,13,2,3,61674,2
1,2,13,2,0,61674,2
2,1,44,1,3,61674,31
2,2,23,1,3,61674,31
1,1,46,1,3,61675,30
2,1,58,2,3,61675,4
2,2,59,1,3,61675,4
1,1,51,2,0,61676,30
1,1,22,1,5,61677,80
2,1,29,1,3,61677,30
1,1,19,1,3,61678,4
2,1,40,2,0,61678,31
1,1,27,1,0,61679,30
2,1,24,1,3,61679,66
1,1,19,1,3,61680,2
2,1,38,2,3,61680,31
1,1,19,1,3,61681,4
1,2,18,1,3,61681,4
1,3,15,1,0,61681,4
2,1,41,1,2,61681,52
2,2,21,1,0,61681,52
2,3,39,2,0,61681,52
3,1,29,1,0,61681,30
4,1,19,1,3,61681,4
5,1,31,2,3,61681,31
5,2,10,2,3,61681,31
5,3,0,2,4,61681,31
5,4,3,1,4,61681,31
1,1,23,2,0,61682,4
2,1,43,1,3,61682,31
1,1,82,1,99,61683,30
2,1,74,1,99,61683,30
2,1,68,1,3,61684,20
1,1,42,1,5,61685,80
2,1,44,1,3,61685,4
2,2,55,2,3,61685,4
3,1,57,1,3,61685,66
3,2,47,2,3,61685,66
1,1,60,1,3,61686,30
2,1,51,1,3,61686,2
2,2,50,2,3,61686,2
1,1,25,1,5,61687,80
2,1,18,1,3,61687,30
1,1,49,1,3,61688,31
2,1,21,1,5,61688,80
1,1,44,2,3,61689,21
1,2,37,1,0,61689,21
2,1,49,1,3,61689,31
2,2,50,2,3,61689,31
1,1,27,2,3,61690,5
1,2,22,1,3,61690,5
1,1,15,1,0,61691,97
1,2,10,1,8,61691,97
1,1,41,1,3,61692,15
2,1,44,1,3,61692,4
2,2,82,2,99,61692,4
2,3,91,2,99,61692,4
1,1,46,1,15,61693,80
0,1,20,1,0,61694,
1,1,49,1,3,61694,15
1,2,44,1,3,61694,15
1,1,19,1,3,61695,14
1,2,25,1,3,61695,14
1,3,16,1,3,61695,14
1,1,35,1,0,61696,4
1,1,17,1,3,61697,3
1,2,23,1,0,61697,3
1,3,20,1,3,61697,3
1,1,49,1,0,61698,4
1,1,85,1,99,61699,2
1,2,56,2,99,61699,2
2,1,28,1,99,61699,14
1,1,49,1,0,61700,80
2,1,40,1,3,61700,31
2,2,22,1,3,61700,31
2,3,34,1,99,61700,31
3,1,46,1,3,61700,66
0,1,28,2,0,61701,
1,1,61,1,3,61701,31
1,1,21,1,3,61702,30
2,1,58,1,5,61702,80
1,1,29,2,3,61703,2
1,1,30,1,3,61704,14
1,2,2,1,4,61704,14
2,1,34,1,5,61704,80
1,1,22,1,99,61705,14
1,2,16,2,0,61705,14
1,3,27,1,0,61705,14
1,4,25,1,0,61705,14
1,5,18,2,0,61705,14
1,1,60,1,5,61706,80
1,1,24,1,0,61707,2
1,2,26,1,0,61707,2
2,1,51,2,3,61707,20
2,2,16,1,3,61707,20
1,1,55,1,0,61708,14
1,2,17,2,99,61708,14
1,3,41,1,3,61708,14
1,4,16,2,99,61708,14
1,5,45,1,3,61708,14
1,1,19,1,3,61709,1
1,2,54,2,0,61709,1
1,3,18,2,3,61709,1
1,1,80,1,0,61710,2
1,1,39,2,5,61711,88
1,1,33,2,0,61712,5
2,1,47,2,3,61712,4
2,2,0,2,4,61712,4
0,1,27,1,0,61713,
1,1,35,1,99,61713,14
1,1,21,1,0,61714,80
1,1,27,1,0,61715,30
2,1,54,2,3,61715,32
2,2,15,2,0,61715,32
2,3,66,1,3,61715,32
2,4,9,1,0,61715,32
2,5,13,2,0,61715,32
2,6,14,2,0,61715,32
0,1,63,1,0,61716,
1,1,44,1,3,61716,4
0,1,74,1,0,61717,
1,1,18,1,3,61717,14
1,2,17,1,3,61717,14
1,1,83,1,99,61718,6
2,1,65,2,99,61718,4
1,1,22,1,99,61719,4
2,1,74,1,99,61719,2
2,2,65,2,99,61719,2
1,1,18,1,3,61720,20
1,1,25,1,0,61721,2
1,2,26,1,3,61721,2
1,1,20,2,3,61722,4
2,1,61,1,3,61722,4
3,1,26,1,3,61722,2
4,1,35,1,3,61722,63
1,1,28,2,3,61723,30
2,1,47,1,3,61723,31
1,1,51,2,3,61724,4
2,1,56,1,3,61724,20
1,1,66,1,0,61725,20
1,2,58,2,0,61725,20
1,3,60,2,0,61725,20
1,4,13,2,0,61725,20
1,5,1,1,99,61725,20
1,1,31,1,3,61726,4
1,2,34,2,0,61726,4
1,3,14,2,3,61726,4
2,1,29,2,3,61726,15
2,2,2,1,4,61726,15
1,1,19,2,3,61727,2
2,1,44,1,3,61727,66
2,2,39,2,0,61727,66
2,3,4,1,4,61727,66
1,1,32,1,5,61728,80
1,1,19,1,99,61729,30
1,1,23,1,0,61730,63
2,1,46,1,3,61730,30
3,1,67,2,3,61730,4
3,2,61,2,0,61730,4
1,1,28,1,3,61731,66
2,1,29,1,3,61731,14
2,2,25,1,3,61731,14
2,3,30,1,3,61731,14
2,4,18,1,3,61731,14
2,5,27,1,3,61731,14
1,1,25,1,0,61732,14
1,2,21,1,0,61732,14
1,3,20,2,3,61732,14
1,4,17,2,3,61732,14
1,1,21,1,5,61733,80
1,2,19,2,5,61733,80
2,1,26,2,3,61733,14
1,1,28,1,3,61734,16
1,2,21,2,3,61734,16
1,3,15,1,3,61734,16
1,4,4,1,3,61734,16
1,1,37,1,3,61735,14
1,2,22,1,3,61735,14
1,1,71,1,5,61736,80
2,1,31,1,3,61736,31
1,1,52,1,99,61737,62
1,1,83,2,3,61738,4
2,1,33,1,0,61738,4
0,1,43,1,0,61739,
1,1,59,1,3,61739,16
1,1,34,1,15,61740,80
1,1,17,1,3,61741,4
1,1,44,1,0,61742,14
1,1,56,1,0,61743,4
1,1,20,1,3,61744,4
1,2,19,1,3,61744,4
1,3,22,1,3,61744,4
1,1,51,2,3,61745,4
2,1,85,2,3,61745,4
2,2,87,2,3,61745,4
1,1,69,1,3,61746,4
1,1,22,1,3,61747,4
1,2,29,1,3,61747,4
1,1,41,1,0,61748,14
1,2,32,2,0,61748,14
1,3,6,1,3,61748,14
1,4,5,2,3,61748,14
1,5,12,1,3,61748,14
2,1,31,1,3,61748,63
3,1,45,2,3,61748,4
1,1,59,1,3,61749,31
2,1,32,1,3,61749,66
1,1,20,2,0,61750,4
2,1,56,1,2,61750,51
1,1,47,1,3,61751,20
1,2,61,2,3,61751,20
1,3,3,2,4,61751,20
1,4,40,2,3,61751,20
1,5,11,2,0,61751,20
1,1,37,2,3,61752,20
1,2,7,1,0,61752,20
1,3,63,2,3,61752,20
1,4,8,1,0,61752,20
1,5,6,2,0,61752,20
1,6,2,1,4,61752,20
1,7,28,2,2,61752,20
1,8,9,2,3,61752,20
1,9,10,1,0,61752,20
1,1,18,1,3,61753,31
1,2,24,1,3,61753,31
2,1,29,1,3,61753,66
1,1,22,1,3,61754,4
1,2,25,1,3,61754,4
2,1,32,1,3,61754,63
1,1,38,2,3,61755,4
1,2,25,2,3,61755,4
1,3,13,2,3,61755,4
2,1,78,1,3,61755,4
1,1,17,2,3,61756,4
1,2,16,2,3,61756,4
1,3,15,2,3,61756,4
2,1,24,1,3,61756,21
2,2,18,2,3,61756,21
1,1,59,2,0,61757,31
1,1,50,1,5,61758,80
0,1,33,1,0,61759,
1,1,23,2,99,61759,4
0,1,55,2,0,61760,
1,1,21,1,3,61760,30
2,1,26,1,3,61760,20
1,1,19,1,3,61761,20
1,2,20,2,3,61761,20
1,3,20,1,99,61761,20
1,4,22,1,99,61761,20
2,1,39,1,99,61761,4
1,1,39,1,5,61762,80
2,1,30,2,99,61762,2
0,1,4,1,0,61763,
1,1,39,2,3,61763,15
2,1,40,2,3,61763,4
1,1,20,1,0,61764,20
