,State,FIPS_State,FIPS_County,County,County_State
2283,PA,42,079,Luzerne County,"Luzerne County, PA"
2284,PA,42,081,Lycoming County,"Lycoming County, PA"
2285,PA,42,083,McKean County,"McKean County, PA"
2286,PA,42,085,Mercer County,"Mercer County, PA"
2287,PA,42,087,Mifflin County,"Mifflin County, PA"
2288,PA,42,089,Monroe County,"Monroe County, PA"
2289,PA,42,091,Montgomery County,"Montgomery County, PA"
2290,PA,42,093,Montour County,"Montour County, PA"
2291,PA,42,095,Northampton County,"Northampton County, PA"
2292,PA,42,097,Northumberland County,"Northumberland County, PA"
2293,PA,42,099,Perry County,"Perry County, PA"
2294,PA,42,101,Philadelphia County,"Philadelphia County, PA"
2295,PA,42,103,Pike County,"Pike County, PA"
2296,PA,42,105,Potter County,"Potter County, PA"
2297,PA,42,107,Schuylkill County,"Schuylkill County, PA"
2298,PA,42,109,Snyder County,"Snyder County, PA"
2299,PA,42,111,Somerset County,"Somerset County, PA"
2300,PA,42,113,Sullivan County,"Sullivan County, PA"
2301,PA,42,115,Susquehanna County,"Susquehanna County, PA"
2302,PA,42,117,Tioga County,"Tioga County, PA"
2303,PA,42,119,Union County,"Union County, PA"
2304,PA,42,121,Venango County,"Venango County, PA"
2305,PA,42,123,Warren County,"Warren County, PA"
2306,PA,42,125,Washington County,"Washington County, PA"
2307,PA,42,127,Wayne County,"Wayne County, PA"
2308,PA,42,129,Westmoreland County,"Westmoreland County, PA"
2309,PA,42,131,Wyoming County,"Wyoming County, PA"
2310,PA,42,133,York County,"York County, PA"
2311,RI,44,001,Bristol County,"Bristol County, RI"
2312,RI,44,003,Kent County,"Kent County, RI"
2313,RI,44,005,Newport County,"Newport County, RI"
2314,RI,44,007,Providence County,"Providence County, RI"
2315,RI,44,009,Washington County,"Washington County, RI"
2316,SC,45,001,Abbeville County,"Abbeville County, SC"
2317,SC,45,003,Aiken County,"Aiken County, SC"
2318,SC,45,005,Allendale County,"Allendale County, SC"
2319,SC,45,007,Anderson County,"Anderson County, SC"
2320,SC,45,009,Bamberg County,"Bamberg County, SC"
2321,SC,45,011,Barnwell County,"Barnwell County, SC"
2322,SC,45,013,Beaufort County,"Beaufort County, SC"
2323,SC,45,015,Berkeley County,"Berkeley County, SC"
2324,SC,45,017,Calhoun County,"Calhoun County, SC"
2325,SC,45,019,Charleston County,"Charleston County, SC"
2326,SC,45,021,Cherokee County,"Cherokee County, SC"
2327,SC,45,023,Chester County,"Chester County, SC"
2328,SC,45,025,Chesterfield County,"Chesterfield County, SC"
2329,SC,45,027,Clarendon County,"Clarendon County, SC"
2330,SC,45,029,Colleton County,"Colleton County, SC"
2331,SC,45,031,Darlington County,"Darlington County, SC"
2332,SC,45,033,Dillon County,"Dillon County, SC"
2333,SC,45,035,Dorchester County,"Dorchester County, SC"
2334,SC,45,037,Edgefield County,"Edgefield County, SC"
2335,SC,45,039,Fairfield County,"Fairfield County, SC"
2336,SC,45,041,Florence County,"Florence County, SC"
2337,SC,45,043,Georgetown County,"Georgetown County, SC"
2338,SC,45,045,Greenville County,"Greenville County, SC"
2339,SC,45,047,Greenwood County,"Greenwood County, SC"
2340,SC,45,049,Hampton County,"Hampton County, SC"
2341,SC,45,051,Horry County,"Horry County, SC"
2342,SC,45,053,Jasper County,"Jasper County, SC"
2343,SC,45,055,Kershaw County,"Kershaw County, SC"
2344,SC,45,057,Lancaster County,"Lancaster County, SC"
2345,SC,45,059,Laurens County,"Laurens County, SC"
2346,SC,45,061,Lee County,"Lee County, SC"
2347,SC,45,063,Lexington County,"Lexington County, SC"
2348,SC,45,065,McCormick County,"McCormick County, SC"
2349,SC,45,067,Marion County,"Marion County, SC"
2350,SC,45,069,Marlboro County,"Marlboro County, SC"
2351,SC,45,071,Newberry County,"Newberry County, SC"
2352,SC,45,073,Oconee County,"Oconee County, SC"
2353,SC,45,075,Orangeburg County,"Orangeburg County, SC"
2354,SC,45,077,Pickens County,"Pickens County, SC"
2355,SC,45,079,Richland County,"Richland County, SC"
2356,SC,45,081,Saluda County,"Saluda County, SC"
2357,SC,45,083,Spartanburg County,"Spartanburg County, SC"
2358,SC,45,085,Sumter County,"Sumter County, SC"
2359,SC,45,087,Union County,"Union County, SC"
2360,SC,45,089,Williamsburg County,"Williamsburg County, SC"
2361,SC,45,091,York County,"York County, SC"
2362,SD,46,003,Aurora County,"Aurora County, SD"
2363,SD,46,005,Beadle County,"Beadle County, SD"
2364,SD,46,007,Bennett County,"Bennett County, SD"
2365,SD,46,009,Bon Homme County,"Bon Homme County, SD"
2366,SD,46,011,Brookings County,"Brookings County, SD"
2367,SD,46,013,Brown County,"Brown County, SD"
2368,SD,46,015,Brule County,"Brule County, SD"
2369,SD,46,017,Buffalo County,"Buffalo County, SD"
2370,SD,46,019,Butte County,"Butte County, SD"
2371,SD,46,021,Campbell County,"Campbell County, SD"
2372,SD,46,023,Charles Mix County,"Charles Mix County, SD"
2373,SD,46,025,Clark County,"Clark County, SD"
2374,SD,46,027,Clay County,"Clay County, SD"
2375,SD,46,029,Codington County,"Codington County, SD"
2376,SD,46,031,Corson County,"Corson County, SD"
2377,SD,46,033,Custer County,"Custer County, SD"
2378,SD,46,035,Davison County,"Davison County, SD"
2379,SD,46,037,Day County,"Day County, SD"
2380,SD,46,039,Deuel County,"Deuel County, SD"
2381,SD,46,041,Dewey County,"Dewey County, SD"
2382,SD,46,043,Douglas County,"Douglas County, SD"
2383,SD,46,045,Edmunds County,"Edmunds County, SD"
2384,SD,46,047,Fall River County,"Fall River County, SD"
2385,SD,46,049,Faulk County,"Faulk County, SD"
2386,SD,46,051,Grant County,"Grant County, SD"
2387,SD,46,053,Gregory County,"Gregory County, SD"
2388,SD,46,055,Haakon County,"Haakon County, SD"
2389,SD,46,057,Hamlin County,"Hamlin County, SD"
2390,SD,46,059,Hand County,"Hand County, SD"
2391,SD,46,061,Hanson County,"Hanson County, SD"
2392,SD,46,063,Harding County,"Harding County, SD"
2393,SD,46,065,Hughes County,"Hughes County, SD"
2394,SD,46,067,Hutchinson County,"Hutchinson County, SD"
2395,SD,46,069,Hyde County,"Hyde County, SD"
2396,SD,46,071,Jackson County,"Jackson County, SD"
2397,SD,46,073,Jerauld County,"Jerauld County, SD"
2398,SD,46,075,Jones County,"Jones County, SD"
2399,SD,46,077,Kingsbury County,"Kingsbury County, SD"
2400,SD,46,079,Lake County,"Lake County, SD"
2401,SD,46,081,Lawrence County,"Lawrence County, SD"
2402,SD,46,083,Lincoln County,"Lincoln County, SD"
2403,SD,46,085,Lyman County,"Lyman County, SD"
2404,SD,46,087,McCook County,"McCook County, SD"
2405,SD,46,089,McPherson County,"McPherson County, SD"
2406,SD,46,091,Marshall County,"Marshall County, SD"
2407,SD,46,093,Meade County,"Meade County, SD"
2408,SD,46,095,Mellette County,"Mellette County, SD"
2409,SD,46,097,Miner County,"Miner County, SD"
2410,SD,46,099,Minnehaha County,"Minnehaha County, SD"
2411,SD,46,101,Moody County,"Moody County, SD"
2412,SD,46,103,Pennington County,"Pennington County, SD"
2413,SD,46,105,Perkins County,"Perkins County, SD"
2414,SD,46,107,Potter County,"Potter County, SD"
2415,SD,46,109,Roberts County,"Roberts County, SD"
2416,SD,46,111,Sanborn County,"Sanborn County, SD"
2417,SD,46,113,Shannon County,"Shannon County, SD"
2418,SD,46,115,Spink County,"Spink County, SD"
2419,SD,46,117,Stanley County,"Stanley County, SD"
2420,SD,46,119,Sully County,"Sully County, SD"
2421,SD,46,121,Todd County,"Todd County, SD"
2422,SD,46,123,Tripp County,"Tripp County, SD"
2423,SD,46,125,Turner County,"Turner County, SD"
2424,SD,46,127,Union County,"Union County, SD"
2425,SD,46,129,Walworth County,"Walworth County, SD"
2426,SD,46,135,Yankton County,"Yankton County, SD"
2427,SD,46,137,Ziebach County,"Ziebach County, SD"
2428,TN,47,001,Anderson County,"Anderson County, TN"
2429,TN,47,003,Bedford County,"Bedford County, TN"
2430,TN,47,005,Benton County,"Benton County, TN"
2431,TN,47,007,Bledsoe County,"Bledsoe County, TN"
2432,TN,47,009,Blount County,"Blount County, TN"
2433,TN,47,011,Bradley County,"Bradley County, TN"
2434,TN,47,013,Campbell County,"Campbell County, TN"
2435,TN,47,015,Cannon County,"Cannon County, TN"
2436,TN,47,017,Carroll County,"Carroll County, TN"
2437,TN,47,019,Carter County,"Carter County, TN"
2438,TN,47,021,Cheatham County,"Cheatham County, TN"
2439,TN,47,023,Chester County,"Chester County, TN"
2440,TN,47,025,Claiborne County,"Claiborne County, TN"
2441,TN,47,027,Clay County,"Clay County, TN"
2442,TN,47,029,Cocke County,"Cocke County, TN"
2443,TN,47,031,Coffee County,"Coffee County, TN"
2444,TN,47,033,Crockett County,"Crockett County, TN"
2445,TN,47,035,Cumberland County,"Cumberland County, TN"
2446,TN,47,037,Davidson County,"Davidson County, TN"
2447,TN,47,039,Decatur County,"Decatur County, TN"
2448,TN,47,041,DeKalb County,"DeKalb County, TN"
2449,TN,47,043,Dickson County,"Dickson County, TN"
2450,TN,47,045,Dyer County,"Dyer County, TN"
2451,TN,47,047,Fayette County,"Fayette County, TN"
2452,TN,47,049,Fentress County,"Fentress County, TN"
2453,TN,47,051,Franklin County,"Franklin County, TN"
2454,TN,47,053,Gibson County,"Gibson County, TN"
2455,TN,47,055,Giles County,"Giles County, TN"
2456,TN,47,057,Grainger County,"Grainger County, TN"
2457,TN,47,059,Greene County,"Greene County, TN"
2458,TN,47,061,Grundy County,"Grundy County, TN"
2459,TN,47,063,Hamblen County,"Hamblen County, TN"
2460,TN,47,065,Hamilton County,"Hamilton County, TN"
2461,TN,47,067,Hancock County,"Hancock County, TN"
2462,TN,47,069,Hardeman County,"Hardeman County, TN"
2463,TN,47,071,Hardin County,"Hardin County, TN"
2464,TN,47,073,Hawkins County,"Hawkins County, TN"
2465,TN,47,075,Haywood County,"Haywood County, TN"
2466,TN,47,077,Henderson County,"Henderson County, TN"
2467,TN,47,079,Henry County,"Henry County, TN"
2468,TN,47,081,Hickman County,"Hickman County, TN"
2469,TN,47,083,Houston County,"Houston County, TN"
2470,TN,47,085,Humphreys County,"Humphreys County, TN"
2471,TN,47,087,Jackson County,"Jackson County, TN"
2472,TN,47,089,Jefferson County,"Jefferson County, TN"
2473,TN,47,091,Johnson County,"Johnson County, TN"
2474,TN,47,093,Knox County,"Knox County, TN"
2475,TN,47,095,Lake County,"Lake County, TN"
2476,TN,47,097,Lauderdale County,"Lauderdale County, TN"
2477,TN,47,099,Lawrence County,"Lawrence County, TN"
2478,TN,47,101,Lewis County,"Lewis County, TN"
2479,TN,47,103,Lincoln County,"Lincoln County, TN"
2480,TN,47,105,Loudon County,"Loudon County, TN"
2481,TN,47,107,McMinn County,"McMinn County, TN"
2482,TN,47,109,McNairy County,"McNairy County, TN"
2483,TN,47,111,Macon County,"Macon County, TN"
2484,TN,47,113,Madison County,"Madison County, TN"
2485,TN,47,115,Marion County,"Marion County, TN"
2486,TN,47,117,Marshall County,"Marshall County, TN"
2487,TN,47,119,Maury County,"Maury County, TN"
2488,TN,47,121,Meigs County,"Meigs County, TN"
2489,TN,47,123,Monroe County,"Monroe County, TN"
2490,TN,47,125,Montgomery County,"Montgomery County, TN"
2491,TN,47,127,Moore County,"Moore County, TN"
2492,TN,47,129,Morgan County,"Morgan County, TN"
2493,TN,47,131,Obion County,"Obion County, TN"
2494,TN,47,133,Overton County,"Overton County, TN"
2495,TN,47,135,Perry County,"Perry County, TN"
2496,TN,47,137,Pickett County,"Pickett County, TN"
2497,TN,47,139,Polk County,"Polk County, TN"
2498,TN,47,141,Putnam County,"Putnam County, TN"
2499,TN,47,143,Rhea County,"Rhea County, TN"
2500,TN,47,145,Roane County,"Roane County, TN"
2501,TN,47,147,Robertson County,"Robertson County, TN"
2502,TN,47,149,Rutherford County,"Rutherford County, TN"
2503,TN,47,151,Scott County,"Scott County, TN"
2504,TN,47,153,Sequatchie County,"Sequatchie County, TN"
2505,TN,47,155,Sevier County,"Sevier County, TN"
2506,TN,47,157,Shelby County,"Shelby County, TN"
2507,TN,47,159,Smith County,"Smith County, TN"
2508,TN,47,161,Stewart County,"Stewart County, TN"
2509,TN,47,163,Sullivan County,"Sullivan County, TN"
2510,TN,47,165,Sumner County,"Sumner County, TN"
2511,TN,47,167,Tipton County,"Tipton County, TN"
2512,TN,47,169,Trousdale County,"Trousdale County, TN"
2513,TN,47,171,Unicoi County,"Unicoi County, TN"
2514,TN,47,173,Union County,"Union County, TN"
2515,TN,47,175,Van Buren County,"Van Buren County, TN"
2516,TN,47,177,Warren County,"Warren County, TN"
2517,TN,47,179,Washington County,"Washington County, TN"
2518,TN,47,181,Wayne County,"Wayne County, TN"
2519,TN,47,183,Weakley County,"Weakley County, TN"
2520,TN,47,185,White County,"White County, TN"
2521,TN,47,187,Williamson County,"Williamson County, TN"
2522,TN,47,189,Wilson County,"Wilson County, TN"
2523,TX,48,001,Anderson County,"Anderson County, TX"
2524,TX,48,003,Andrews County,"Andrews County, TX"
2525,TX,48,005,Angelina County,"Angelina County, TX"
2526,TX,48,007,Aransas County,"Aransas County, TX"
2527,TX,48,009,Archer County,"Archer County, TX"
2528,TX,48,011,Armstrong County,"Armstrong County, TX"
2529,TX,48,013,Atascosa County,"Atascosa County, TX"
2530,TX,48,015,Austin County,"Austin County, TX"
2531,TX,48,017,Bailey County,"Bailey County, TX"
2532,TX,48,019,Bandera County,"Bandera County, TX"
2533,TX,48,021,Bastrop County,"Bastrop County, TX"
2534,TX,48,023,Baylor County,"Baylor County, TX"
2535,TX,48,025,Bee County,"Bee County, TX"
2536,TX,48,027,Bell County,"Bell County, TX"
2537,TX,48,029,Bexar County,"Bexar County, TX"
2538,TX,48,031,Blanco County,"Blanco County, TX"
2539,TX,48,033,Borden County,"Borden County, TX"
2540,TX,48,035,Bosque County,"Bosque County, TX"
2541,TX,48,037,Bowie County,"Bowie County, TX"
2542,TX,48,039,Brazoria County,"Brazoria County, TX"
2543,TX,48,041,Brazos County,"Brazos County, TX"
2544,TX,48,043,Brewster County,"Brewster County, TX"
2545,TX,48,045,Briscoe County,"Briscoe County, TX"
2546,TX,48,047,Brooks County,"Brooks County, TX"
2547,TX,48,049,Brown County,"Brown County, TX"
2548,TX,48,051,Burleson County,"Burleson County, TX"
2549,TX,48,053,Burnet County,"Burnet County, TX"
2550,TX,48,055,Caldwell County,"Caldwell County, TX"
2551,TX,48,057,Calhoun County,"Calhoun County, TX"
2552,TX,48,059,Callahan County,"Callahan County, TX"
2553,TX,48,061,Cameron County,"Cameron County, TX"
2554,TX,48,063,Camp County,"Camp County, TX"
2555,TX,48,065,Carson County,"Carson County, TX"
2556,TX,48,067,Cass County,"Cass County, TX"
2557,TX,48,069,Castro County,"Castro County, TX"
2558,TX,48,071,Chambers County,"Chambers County, TX"
2559,TX,48,073,Cherokee County,"Cherokee County, TX"
2560,TX,48,075,Childress County,"Childress County, TX"
2561,TX,48,077,Clay County,"Clay County, TX"
2562,TX,48,079,Cochran County,"Cochran County, TX"
2563,TX,48,081,Coke County,"Coke County, TX"
2564,TX,48,083,Coleman County,"Coleman County, TX"
2565,TX,48,085,Collin County,"Collin County, TX"
2566,TX,48,087,Collingsworth County,"Collingsworth County, TX"
2567,TX,48,089,Colorado County,"Colorado County, TX"
2568,TX,48,091,Comal County,"Comal County, TX"
2569,TX,48,093,Comanche County,"Comanche County, TX"
2570,TX,48,095,Concho County,"Concho County, TX"
2571,TX,48,097,Cooke County,"Cooke County, TX"
2572,TX,48,099,Coryell County,"Coryell County, TX"
2573,TX,48,101,Cottle County,"Cottle County, TX"
2574,TX,48,103,Crane County,"Crane County, TX"
2575,TX,48,105,Crockett County,"Crockett County, TX"
2576,TX,48,107,Crosby County,"Crosby County, TX"
2577,TX,48,109,Culberson County,"Culberson County, TX"
2578,TX,48,111,Dallam County,"Dallam County, TX"
2579,TX,48,113,Dallas County,"Dallas County, TX"
2580,TX,48,115,Dawson County,"Dawson County, TX"
2581,TX,48,117,Deaf Smith County,"Deaf Smith County, TX"
2582,TX,48,119,Delta County,"Delta County, TX"
2583,TX,48,121,Denton County,"Denton County, TX"
2584,TX,48,123,DeWitt County,"DeWitt County, TX"
2585,TX,48,125,Dickens County,"Dickens County, TX"
2586,TX,48,127,Dimmit County,"Dimmit County, TX"
2587,TX,48,129,Donley County,"Donley County, TX"
2588,TX,48,131,Duval County,"Duval County, TX"
2589,TX,48,133,Eastland County,"Eastland County, TX"
2590,TX,48,135,Ector County,"Ector County, TX"
2591,TX,48,137,Edwards County,"Edwards County, TX"
2592,TX,48,139,Ellis County,"Ellis County, TX"
2593,TX,48,141,El Paso County,"El Paso County, TX"
2594,TX,48,143,Erath County,"Erath County, TX"
2595,TX,48,145,Falls County,"Falls County, TX"
2596,TX,48,147,Fannin County,"Fannin County, TX"
2597,TX,48,149,Fayette County,"Fayette County, TX"
2598,TX,48,151,Fisher County,"Fisher County, TX"
2599,TX,48,153,Floyd County,"Floyd County, TX"
2600,TX,48,155,Foard County,"Foard County, TX"
2601,TX,48,157,Fort Bend County,"Fort Bend County, TX"
2602,TX,48,159,Franklin County,"Franklin County, TX"
2603,TX,48,161,Freestone County,"Freestone County, TX"
2604,TX,48,163,Frio County,"Frio County, TX"
2605,TX,48,165,Gaines County,"Gaines County, TX"
2606,TX,48,167,Galveston County,"Galveston County, TX"
2607,TX,48,169,Garza County,"Garza County, TX"
2608,TX,48,171,Gillespie County,"Gillespie County, TX"
2609,TX,48,173,Glasscock County,"Glasscock County, TX"
2610,TX,48,175,Goliad County,"Goliad County, TX"
2611,TX,48,177,Gonzales County,"Gonzales County, TX"
2612,TX,48,179,Gray County,"Gray County, TX"
2613,TX,48,181,Grayson County,"Grayson County, TX"
2614,TX,48,183,Gregg County,"Gregg County, TX"
2615,TX,48,185,Grimes County,"Grimes County, TX"
2616,TX,48,187,Guadalupe County,"Guadalupe County, TX"
2617,TX,48,189,Hale County,"Hale County, TX"
2618,TX,48,191,Hall County,"Hall County, TX"
2619,TX,48,193,Hamilton County,"Hamilton County, TX"
2620,TX,48,195,Hansford County,"Hansford County, TX"
2621,TX,48,197,Hardeman County,"Hardeman County, TX"
2622,TX,48,199,Hardin County,"Hardin County, TX"
2623,TX,48,201,Harris County,"Harris County, TX"
2624,TX,48,203,Harrison County,"Harrison County, TX"
2625,TX,48,205,Hartley County,"Hartley County, TX"
2626,TX,48,207,Haskell County,"Haskell County, TX"
2627,TX,48,209,Hays County,"Hays County, TX"
2628,TX,48,211,Hemphill County,"Hemphill County, TX"
2629,TX,48,213,Henderson County,"Henderson County, TX"
2630,TX,48,215,Hidalgo County,"Hidalgo County, TX"
2631,TX,48,217,Hill County,"Hill County, TX"
2632,TX,48,219,Hockley County,"Hockley County, TX"
2633,TX,48,221,Hood County,"Hood County, TX"
2634,TX,48,223,Hopkins County,"Hopkins County, TX"
2635,TX,48,225,Houston County,"Houston County, TX"
2636,TX,48,227,Howard County,"Howard County, TX"
2637,TX,48,229,Hudspeth County,"Hudspeth County, TX"
2638,TX,48,231,Hunt County,"Hunt County, TX"
2639,TX,48,233,Hutchinson County,"Hutchinson County, TX"
2640,TX,48,235,Irion County,"Irion County, TX"
2641,TX,48,237,Jack County,"Jack County, TX"
2642,TX,48,239,Jackson County,"Jackson County, TX"
2643,TX,48,241,Jasper County,"Jasper County, TX"
2644,TX,48,243,Jeff Davis County,"Jeff Davis County, TX"
2645,TX,48,245,Jefferson County,"Jefferson County, TX"
2646,TX,48,247,Jim Hogg County,"Jim Hogg County, TX"
2647,TX,48,249,Jim Wells County,"Jim Wells County, TX"
2648,TX,48,251,Johnson County,"Johnson County, TX"
2649,TX,48,253,Jones County,"Jones County, TX"
2650,TX,48,255,Karnes County,"Karnes County, TX"
2651,TX,48,257,Kaufman County,"Kaufman County, TX"
2652,TX,48,259,Kendall County,"Kendall County, TX"
2653,TX,48,261,Kenedy County,"Kenedy County, TX"
2654,TX,48,263,Kent County,"Kent County, TX"
2655,TX,48,265,Kerr County,"Kerr County, TX"
2656,TX,48,267,Kimble County,"Kimble County, TX"
2657,TX,48,269,King County,"King County, TX"
2658,TX,48,271,Kinney County,"Kinney County, TX"
2659,TX,48,273,Kleberg County,"Kleberg County, TX"
2660,TX,48,275,Knox County,"Knox County, TX"
2661,TX,48,277,Lamar County,"Lamar County, TX"
2662,TX,48,279,Lamb County,"Lamb County, TX"
2663,TX,48,281,Lampasas County,"Lampasas County, TX"
2664,TX,48,283,La Salle County,"La Salle County, TX"
2665,TX,48,285,Lavaca County,"Lavaca County, TX"
2666,TX,48,287,Lee County,"Lee County, TX"
2667,TX,48,289,Leon County,"Leon County, TX"
2668,TX,48,291,Liberty County,"Liberty County, TX"
2669,TX,48,293,Limestone County,"Limestone County, TX"
2670,TX,48,295,Lipscomb County,"Lipscomb County, TX"
2671,TX,48,297,Live Oak County,"Live Oak County, TX"
2672,TX,48,299,Llano County,"Llano County, TX"
2673,TX,48,301,Loving County,"Loving County, TX"
2674,TX,48,303,Lubbock County,"Lubbock County, TX"
2675,TX,48,305,Lynn County,"Lynn County, TX"
2676,TX,48,307,McCulloch County,"McCulloch County, TX"
2677,TX,48,309,McLennan County,"McLennan County, TX"
2678,TX,48,311,McMullen County,"McMullen County, TX"
2679,TX,48,313,Madison County,"Madison County, TX"
2680,TX,48,315,Marion County,"Marion County, TX"
2681,TX,48,317,Martin County,"Martin County, TX"
2682,TX,48,319,Mason County,"Mason County, TX"
2683,TX,48,321,Matagorda County,"Matagorda County, TX"
2684,TX,48,323,Maverick County,"Maverick County, TX"
2685,TX,48,325,Medina County,"Medina County, TX"
2686,TX,48,327,Menard County,"Menard County, TX"
2687,TX,48,329,Midland County,"Midland County, TX"
2688,TX,48,331,Milam County,"Milam County, TX"
2689,TX,48,333,Mills County,"Mills County, TX"
2690,TX,48,335,Mitchell County,"Mitchell County, TX"
2691,TX,48,337,Montague County,"Montague County, TX"
2692,TX,48,339,Montgomery County,"Montgomery County, TX"
2693,TX,48,341,Moore County,"Moore County, TX"
2694,TX,48,343,Morris County,"Morris County, TX"
2695,TX,48,345,Motley County,"Motley County, TX"
2696,TX,48,347,Nacogdoches County,"Nacogdoches County, TX"
2697,TX,48,349,Navarro County,"Navarro County, TX"
2698,TX,48,351,Newton County,"Newton County, TX"
2699,TX,48,353,Nolan County,"Nolan County, TX"
2700,TX,48,355,Nueces County,"Nueces County, TX"
2701,TX,48,357,Ochiltree County,"Ochiltree County, TX"
2702,TX,48,359,Oldham County,"Oldham County, TX"
2703,TX,48,361,Orange County,"Orange County, TX"
2704,TX,48,363,Palo Pinto County,"Palo Pinto County, TX"
2705,TX,48,365,Panola County,"Panola County, TX"
2706,TX,48,367,Parker County,"Parker County, TX"
2707,TX,48,369,Parmer County,"Parmer County, TX"
2708,TX,48,371,Pecos County,"Pecos County, TX"
2709,TX,48,373,Polk County,"Polk County, TX"
2710,TX,48,375,Potter County,"Potter County, TX"
2711,TX,48,377,Presidio County,"Presidio County, TX"
2712,TX,48,379,Rains County,"Rains County, TX"
2713,TX,48,381,Randall County,"Randall County, TX"
2714,TX,48,383,Reagan County,"Reagan County, TX"
2715,TX,48,385,Real County,"Real County, TX"
2716,TX,48,387,Red River County,"Red River County, TX"
2717,TX,48,389,Reeves County,"Reeves County, TX"
2718,TX,48,391,Refugio County,"Refugio County, TX"
2719,TX,48,393,Roberts County,"Roberts County, TX"
2720,TX,48,395,Robertson County,"Robertson County, TX"
2721,TX,48,397,Rockwall County,"Rockwall County, TX"
2722,TX,48,399,Runnels County,"Runnels County, TX"
2723,TX,48,401,Rusk County,"Rusk County, TX"
2724,TX,48,403,Sabine County,"Sabine County, TX"
2725,TX,48,405,San Augustine County,"San Augustine County, TX"
2726,TX,48,407,San Jacinto County,"San Jacinto County, TX"
2727,TX,48,409,San Patricio County,"San Patricio County, TX"
2728,TX,48,411,San Saba County,"San Saba County, TX"
2729,TX,48,413,Schleicher County,"Schleicher County, TX"
2730,TX,48,415,Scurry County,"Scurry County, TX"
2731,TX,48,417,Shackelford County,"Shackelford County, TX"
2732,TX,48,419,Shelby County,"Shelby County, TX"
2733,TX,48,421,Sherman County,"Sherman County, TX"
2734,TX,48,423,Smith County,"Smith County, TX"
2735,TX,48,425,Somervell County,"Somervell County, TX"
2736,TX,48,427,Starr County,"Starr County, TX"
2737,TX,48,429,Stephens County,"Stephens County, TX"
2738,TX,48,431,Sterling County,"Sterling County, TX"
2739,TX,48,433,Stonewall County,"Stonewall County, TX"
2740,TX,48,435,Sutton County,"Sutton County, TX"
2741,TX,48,437,Swisher County,"Swisher County, TX"
2742,TX,48,439,Tarrant County,"Tarrant County, TX"
2743,TX,48,441,Taylor County,"Taylor County, TX"
2744,TX,48,443,Terrell County,"Terrell County, TX"
2745,TX,48,445,Terry County,"Terry County, TX"
2746,TX,48,447,Throckmorton County,"Throckmorton County, TX"
2747,TX,48,449,Titus County,"Titus County, TX"
2748,TX,48,451,Tom Green County,"Tom Green County, TX"
2749,TX,48,453,Travis County,"Travis County, TX"
2750,TX,48,455,Trinity County,"Trinity County, TX"
2751,TX,48,457,Tyler County,"Tyler County, TX"
2752,TX,48,459,Upshur County,"Upshur County, TX"
2753,TX,48,461,Upton County,"Upton County, TX"
2754,TX,48,463,Uvalde County,"Uvalde County, TX"
2755,TX,48,465,Val Verde County,"Val Verde County, TX"
2756,TX,48,467,Van Zandt County,"Van Zandt County, TX"
2757,TX,48,469,Victoria County,"Victoria County, TX"
2758,TX,48,471,Walker County,"Walker County, TX"
2759,TX,48,473,Waller County,"Waller County, TX"
2760,TX,48,475,Ward County,"Ward County, TX"
2761,TX,48,477,Washington County,"Washington County, TX"
2762,TX,48,479,Webb County,"Webb County, TX"
2763,TX,48,481,Wharton County,"Wharton County, TX"
2764,TX,48,483,Wheeler County,"Wheeler County, TX"
2765,TX,48,485,Wichita County,"Wichita County, TX"
2766,TX,48,487,Wilbarger County,"Wilbarger County, TX"
2767,TX,48,489,Willacy County,"Willacy County, TX"
2768,TX,48,491,Williamson County,"Williamson County, TX"
2769,TX,48,493,Wilson County,"Wilson County, TX"
2770,TX,48,495,Winkler County,"Winkler County, TX"
2771,TX,48,497,Wise County,"Wise County, TX"
2772,TX,48,499,Wood County,"Wood County, TX"
2773,TX,48,501,Yoakum County,"Yoakum County, TX"
2774,TX,48,503,Young County,"Young County, TX"
2775,TX,48,505,Zapata County,"Zapata County, TX"
2776,TX,48,507,Zavala County,"Zavala County, TX"
2777,UT,49,001,Beaver County,"Beaver County, UT"
2778,UT,49,003,Box Elder County,"Box Elder County, UT"
2779,UT,49,005,Cache County,"Cache County, UT"
2780,UT,49,007,Carbon County,"Carbon County, UT"
2781,UT,49,009,Daggett County,"Daggett County, UT"
2782,UT,49,011,Davis County,"Davis County, UT"
2783,UT,49,013,Duchesne County,"Duchesne County, UT"
2784,UT,49,015,Emery County,"Emery County, UT"
2785,UT,49,017,Garfield County,"Garfield County, UT"
2786,UT,49,019,Grand County,"Grand County, UT"
2787,UT,49,021,Iron County,"Iron County, UT"
2788,UT,49,023,Juab County,"Juab County, UT"
2789,UT,49,025,Kane County,"Kane County, UT"
2790,UT,49,027,Millard County,"Millard County, UT"
2791,UT,49,029,Morgan County,"Morgan County, UT"
2792,UT,49,031,Piute County,"Piute County, UT"
2793,UT,49,033,Rich County,"Rich County, UT"
2794,UT,49,035,Salt Lake County,"Salt Lake County, UT"
2795,UT,49,037,San Juan County,"San Juan County, UT"
2796,UT,49,039,Sanpete County,"Sanpete County, UT"
2797,UT,49,041,Sevier County,"Sevier County, UT"
2798,UT,49,043,Summit County,"Summit County, UT"
2799,UT,49,045,Tooele County,"Tooele County, UT"
2800,UT,49,047,Uintah County,"Uintah County, UT"
