VIN,VIN_1,VIN_2,VIN_3,VIN_4,VIN_5,VIN_6,VIN_7,VIN_8,VIN_9,VIN_10,VIN_11,VIN_12,STATE,VEH_NO,NUMOCCS,MAKE,MODEL,BODY_TYP,REG_STAT,OWNER,ROLLOVER,J_KNIFE,TRAV_SP,HAZ_INV,HAZ_PLAC,HAZ_CNO,HAZ_REL,TOW_VEH,V_CONFIG,CARGO_BT,HIT_RUN,ROLINLOC,SPEC_USE,EMER_USE,IMPACT1,IMPACT2,UNDERIDE,DEFORMED,IMPACTS,TOWED,FIRE_EXP,VEH_CF1,VEH_CF2,VEH_MAN,AVOID,M_HARM,DEATHS,SEQ1,SEQ2,SEQ3,SEQ4,SEQ5,SEQ6,VIN_LNGT,BUS_USE,GVWR,UNITTYPE,MCARR_I1,ST_CASE,HAZ_ID,MAK_MOD,MOD_YEAR,VINA_MOD,SER_TR,VIN_BT,MCARR_I2,FLDCD_TR,MCARR_ID,WHLBS_SH,WHLBS_LG,MCYCL_DS,VIN_WGT,WGTCD_TR,DR_PRES,DR_DRINK,L_STATE,L_TYPE,L_STATUS,CDL_STAT,L_ENDORS,L_COMPL,L_RESTRI,VIOLCHG1,VIOLCHG2,VIOLCHG3,SPEEDREL,PREV_ACC,PREV_SUS,PREV_DWI,PREV_SPD,PREV_OTH,LAST_MO,FIRST_MO,DR_CF1,DR_CF2,DR_CF3,DR_CF4,DR_WGT,DR_HGT,D_VISION1,D_VISION2,D_VISION3,LAST_YR,FIRST_YR,DR_ZIP,MONTH,DAY,HOUR,MINUTE,HARM_EV,MAN_COLL,VE_FORMS
1FMZU73K52UD,1,F,M,Z,U,7,3,K,5,2,U,D,34.0000,2.0000,0.0000,12.0000,401.0000,14.0000,34.0000,6.0000,0.0000,0.0000,999.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.0000,6.0000,0.0000,9.0000,2.0000,9.0000,0.0000,0.0000,0.0000,99.0000,8.0000,14.0000,0.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,17.0000,0.0000,0.0000,2.0000,0.0000,340571.0000,0.0000,12401.0000,2002.0000,EPR,***,UT,000000000,*,00000000000,1137.0000,0.0000,,4378.0000,,0.0000,0.0000,,,,,,,,,,,9.0000,,,,,,,,0.0000,0.0000,0.0000,0.0000,,,99.0000,99.0000,99.0000,,,,12.0000,8.0000,19.0000,40.0000,14.0000,1.0000,1.0000
1HGCB7553NA0,1,H,G,C,B,7,5,5,3,N,A,0,34.0000,2.0000,0.0000,37.0000,32.0000,4.0000,34.0000,6.0000,0.0000,0.0000,999.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.0000,10.0000,0.0000,9.0000,2.0000,9.0000,0.0000,0.0000,0.0000,99.0000,8.0000,8.0000,0.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,17.0000,0.0000,0.0000,2.0000,0.0000,340583.0000,0.0000,37032.0000,1992.0000,ALX,***,4D,000000000,*,00000000000,1071.0000,0.0000,,2504.0000,,0.0000,0.0000,,,,,,,,,,,9.0000,,,,,,,,0.0000,0.0000,0.0000,0.0000,,,99.0000,99.0000,99.0000,,,,12.0000,18.0000,4.0000,1.0000,8.0000,0.0000,1.0000
1G1FP21H3HN1,1,G,1,F,P,2,1,H,3,H,N,1,36.0000,2.0000,1.0000,20.0000,9.0000,2.0000,36.0000,6.0000,0.0000,0.0000,999.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0000,6.0000,0.0000,6.0000,2.0000,9.0000,0.0000,0.0000,0.0000,99.0000,8.0000,12.0000,0.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,17.0000,0.0000,0.0000,2.0000,0.0000,360097.0000,0.0000,20009.0000,1987.0000,CAM,***,CP,000000000,*,00000000000,1010.0000,0.0000,,3062.0000,,0.0000,0.0000,,,,,,,,,,,9.0000,,,,,,,,0.0000,0.0000,0.0000,0.0000,,,99.0000,99.0000,99.0000,,,,2.0000,18.0000,15.0000,25.0000,14.0000,7.0000,1.0000
1HGCM56344A0,1,H,G,C,M,5,6,3,4,4,A,0,36.0000,2.0000,0.0000,37.0000,32.0000,4.0000,36.0000,6.0000,0.0000,0.0000,999.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.0000,12.0000,0.0000,2.0000,2.0000,9.0000,0.0000,0.0000,0.0000,99.0000,8.0000,12.0000,0.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,17.0000,0.0000,0.0000,2.0000,0.0000,360127.0000,0.0000,37032.0000,2004.0000,ULX,***,4D,000000000,*,00000000000,1079.0000,0.0000,,3113.0000,,0.0000,0.0000,,,,,,,,,,,9.0000,,,,,,,,0.0000,0.0000,0.0000,0.0000,,,99.0000,99.0000,99.0000,,,,1.0000,31.0000,4.0000,52.0000,38.0000,0.0000,1.0000
WAUCB28D7WA1,W,A,U,C,B,2,8,D,7,W,A,1,36.0000,3.0000,0.0000,32.0000,43.0000,4.0000,36.0000,6.0000,0.0000,0.0000,999.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0000,7.0000,0.0000,2.0000,2.0000,9.0000,0.0000,0.0000,0.0000,99.0000,8.0000,12.0000,0.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,17.0000,0.0000,0.0000,2.0000,0.0000,360127.0000,0.0000,32043.0000,1998.0000,41Q,***,4D,000000000,*,00000000000,1026.0000,0.0000,,3042.0000,,0.0000,0.0000,,,,,,,,,,,9.0000,,,,,,,,0.0000,0.0000,0.0000,0.0000,,,99.0000,99.0000,99.0000,,,,1.0000,31.0000,4.0000,52.0000,38.0000,0.0000,1.0000
1G2ZG57B3841,1,G,2,Z,G,5,7,B,3,8,4,1,36.0000,2.0000,2.0000,22.0000,22.0000,4.0000,36.0000,6.0000,0.0000,0.0000,999.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0000,10.0000,0.0000,6.0000,2.0000,9.0000,0.0000,0.0000,0.0000,99.0000,8.0000,12.0000,1.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,17.0000,0.0000,0.0000,3.0000,0.0000,360149.0000,0.0000,22022.0000,2008.0000,6BS,***,4D,000000000,*,00000000000,1123.0000,0.0000,,3305.0000,,0.0000,0.0000,,,,,,,,,,,9.0000,,,,,,,,0.0000,0.0000,0.0000,0.0000,,,99.0000,99.0000,99.0000,,,,4.0000,5.0000,17.0000,40.0000,14.0000,5.0000,1.0000
999999999999,9,9,9,9,9,9,9,9,9,9,9,9,36.0000,2.0000,0.0000,99.0000,999.0000,99.0000,92.0000,6.0000,0.0000,0.0000,999.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.0000,6.0000,0.0000,6.0000,2.0000,9.0000,0.0000,0.0000,0.0000,99.0000,8.0000,12.0000,0.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,17.0000,0.0000,0.0000,2.0000,0.0000,360198.0000,0.0000,99999.0000,9999.0000,999,999,99,000000000,9,00000000000,9999.0000,9999.0000,9999.0000,9999.0000,9.0000,0.0000,0.0000,,,,,,,,,,,9.0000,,,,,,,,0.0000,0.0000,0.0000,0.0000,,,99.0000,99.0000,99.0000,,,,4.0000,10.0000,15.0000,57.0000,14.0000,1.0000,1.0000
JN1CA21D3WT5,J,N,1,C,A,2,1,D,3,W,T,5,36.0000,2.0000,0.0000,35.0000,39.0000,4.0000,36.0000,6.0000,0.0000,0.0000,999.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0000,6.0000,0.0000,6.0000,2.0000,9.0000,0.0000,0.0000,0.0000,99.0000,8.0000,12.0000,0.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,17.0000,0.0000,0.0000,2.0000,0.0000,360243.0000,0.0000,35039.0000,1998.0000,MGS,***,4D,000000000,*,00000000000,1063.0000,0.0000,,3026.0000,,0.0000,0.0000,,,,,,,,,,,9.0000,,,,,,,,0.0000,0.0000,0.0000,0.0000,,,99.0000,99.0000,99.0000,,,,5.0000,15.0000,17.0000,35.0000,8.0000,0.0000,1.0000
999999999999,9,9,9,9,9,9,9,9,9,9,9,9,36.0000,3.0000,0.0000,55.0000,399.0000,6.0000,34.0000,6.0000,0.0000,0.0000,999.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.0000,12.0000,0.0000,0.0000,3.0000,9.0000,0.0000,0.0000,0.0000,99.0000,8.0000,12.0000,0.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,17.0000,0.0000,0.0000,2.0000,0.0000,360243.0000,0.0000,55399.0000,2005.0000,999,999,99,000000000,9,00000000000,9999.0000,9999.0000,9999.0000,9999.0000,9.0000,0.0000,0.0000,,,,,,,,,,,9.0000,,,,,,,,0.0000,0.0000,0.0000,0.0000,,,99.0000,99.0000,99.0000,,,,5.0000,15.0000,17.0000,35.0000,8.0000,0.0000,1.0000
5UXFA13516LY,5,U,X,F,A,1,3,5,1,6,L,Y,36.0000,4.0000,0.0000,34.0000,401.0000,14.0000,36.0000,6.0000,0.0000,0.0000,999.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.0000,7.0000,0.0000,2.0000,2.0000,9.0000,0.0000,0.0000,0.0000,99.0000,8.0000,12.0000,0.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,17.0000,0.0000,0.0000,2.0000,0.0000,360243.0000,0.0000,34401.0000,2006.0000,BX5,***,UT,000000000,*,00000000000,1110.0000,0.0000,,4652.0000,,0.0000,0.0000,,,,,,,,,,,9.0000,,,,,,,,0.0000,0.0000,0.0000,0.0000,,,99.0000,99.0000,99.0000,,,,5.0000,15.0000,17.0000,35.0000,8.0000,0.0000,1.0000
1GTGK24K9KE5,1,G,T,G,K,2,4,K,9,K,E,5,36.0000,2.0000,0.0000,23.0000,481.0000,31.0000,36.0000,6.0000,0.0000,0.0000,999.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0000,9.0000,0.0000,6.0000,2.0000,9.0000,0.0000,0.0000,0.0000,99.0000,8.0000,12.0000,0.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,17.0000,0.0000,0.0000,3.0000,0.0000,360260.0000,0.0000,23481.0000,1989.0000,SK2,SIE,PK,000000000,G,00000000000,1315.0000,0.0000,,,2.0000,0.0000,0.0000,,,,,,,,,,,9.0000,,,,,,,,0.0000,0.0000,0.0000,0.0000,,,99.0000,99.0000,99.0000,,,,1.0000,10.0000,2.0000,25.0000,32.0000,0.0000,1.0000
1GTFG15X9512,1,G,T,F,G,1,5,X,9,5,1,2,36.0000,3.0000,0.0000,23.0000,461.0000,21.0000,13.0000,6.0000,0.0000,0.0000,999.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.0000,6.0000,0.0000,0.0000,2.0000,9.0000,0.0000,0.0000,0.0000,99.0000,8.0000,12.0000,0.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,17.0000,0.0000,0.0000,3.0000,0.0000,360262.0000,0.0000,23461.0000,2005.0000,SA1,SAV,CG,000000000,G,00000000000,1350.0000,0.0000,,,2.0000,0.0000,0.0000,,,,,,,,,,,9.0000,,,,,,,,0.0000,0.0000,0.0000,0.0000,,,99.0000,99.0000,99.0000,,,,4.0000,5.0000,22.0000,0.0000,12.0000,5.0000,2.0000
JT8UF11E0N01,J,T,8,U,F,1,1,E,0,N,0,1,36.0000,4.0000,0.0000,59.0000,32.0000,4.0000,36.0000,6.0000,0.0000,0.0000,999.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0000,9.0000,0.0000,6.0000,2.0000,9.0000,0.0000,0.0000,0.0000,99.0000,8.0000,12.0000,0.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,17.0000,0.0000,0.0000,3.0000,0.0000,360262.0000,0.0000,59032.0000,1992.0000,LS4,***,4D,000000000,*,00000000000,1108.0000,0.0000,,3759.0000,,0.0000,0.0000,,,,,,,,,,,9.0000,,,,,,,,0.0000,0.0000,0.0000,0.0000,,,99.0000,99.0000,99.0000,,,,4.0000,5.0000,22.0000,0.0000,12.0000,5.0000,2.0000
1J4GW48S3YC1,1,J,4,G,W,4,8,S,3,Y,C,1,36.0000,5.0000,0.0000,2.0000,404.0000,14.0000,36.0000,6.0000,0.0000,0.0000,999.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.0000,6.0000,0.0000,6.0000,2.0000,9.0000,0.0000,0.0000,0.0000,99.0000,8.0000,12.0000,0.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,17.0000,0.0000,0.0000,3.0000,0.0000,360262.0000,0.0000,2404.0000,2000.0000,LRO,GCK,4W,000000000,G,00000000000,1059.0000,0.0000,,,1.0000,0.0000,0.0000,,,,,,,,,,,9.0000,,,,,,,,0.0000,0.0000,0.0000,0.0000,,,99.0000,99.0000,99.0000,,,,4.0000,5.0000,22.0000,0.0000,12.0000,5.0000,2.0000
1FVACWBS99HA,1,F,V,A,C,W,B,S,9,9,H,A,36.0000,2.0000,0.0000,82.0000,881.0000,66.0000,36.0000,6.0000,0.0000,0.0000,999.0000,1.0000,0.0000,0.0000,0.0000,1.0000,6.0000,3.0000,0.0000,0.0000,0.0000,0.0000,6.0000,6.0000,0.0000,2.0000,2.0000,9.0000,0.0000,0.0000,0.0000,99.0000,8.0000,12.0000,0.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,17.0000,0.0000,3.0000,2.0000,57.0000,360278.0000,0.0000,82881.0000,2009.0000,16M,FM2,CC,1114765,D,571114765,0.0000,0.0000,,,6.0000,0.0000,0.0000,,,,,,,,,,,9.0000,,,,,,,,0.0000,0.0000,0.0000,0.0000,,,99.0000,99.0000,99.0000,,,,5.0000,22.0000,10.0000,0.0000,14.0000,1.0000,1.0000
2T1BR32EX5C5,2,T,1,B,R,3,2,E,X,5,C,5,36.0000,2.0000,0.0000,49.0000,32.0000,4.0000,36.0000,6.0000,0.0000,0.0000,999.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.0000,6.0000,0.0000,2.0000,2.0000,9.0000,0.0000,0.0000,0.0000,99.0000,8.0000,12.0000,0.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,17.0000,0.0000,0.0000,2.0000,0.0000,360297.0000,0.0000,49032.0000,2005.0000,UCS,***,4D,000000000,*,00000000000,1024.0000,0.0000,,2530.0000,,0.0000,0.0000,,,,,,,,,,,9.0000,,,,,,,,0.0000,0.0000,0.0000,0.0000,,,99.0000,99.0000,99.0000,,,,5.0000,18.0000,11.0000,37.0000,14.0000,1.0000,1.0000
