VIN,VIN_1,VIN_2,VIN_3,VIN_4,VIN_5,VIN_6,VIN_7,VIN_8,VIN_9,VIN_10,VIN_11,VIN_12,STATE,VEH_NO,OCUPANTS,MAKE,BODY_TYP,REG_STAT,OWNER,ROLLOVER,J_KNIFE,TRAV_SP,HAZ_INV,HAZ_PLAC,HAZ_CNO,HAZ_REL,TOW_VEH,V_CONFIG,AXLES,CARGO_BT,SPEC_USE,EMER_USE,IMPACT1,IMPACT2,UNDERIDE,DEFORMED,IMPACTS,TOWAWAY,FIRE_EXP,VEH_CF1,VEH_CF2,VEH_MAN,AVOID,M_HARM,DEATHS,SEQ1,SEQ2,SEQ3,SEQ4,SEQ5,SEQ6,VIN_LNGT,BUS_USE,GVWR,UNITTYPE,MCARR_I1,ST_CASE,HAZ_ID,MAK_MOD,MOD_YEAR,VINA_MOD,SER_TR,VIN_BT,MCARR_I2,FLDCD_TR,MCARR_ID,MODEL,WHLBS_SH,WHLBS_LG,MCYCL_DS,VIN_WGT,WGTCD_TR,DR_PRES,DR_DRINK,L_STATE,L_TYPE,L_STATUS,CDL_STAT,L_ENDORS,L_COMPL,L_RESTRI,VIOLCHG1,VIOLCHG2,VIOLCHG3,PREV_ACC,PREV_SUS,PREV_DWI,PREV_SPD,PREV_OTH,LAST_MO,FIRST_MO,DR_CF1,DR_CF2,DR_CF3,DR_CF4,DR_WGT,DR_HGT,LAST_YR,FIRST_YR,DR_ZIP,MONTH,HARM_EV,MAN_COLL,HIT_RUN,VE_FORMS
999999999999,9,9,9,9,9,9,9,9,9,9,9,9,25.0000,2.0000,0.0000,99.0000,99.0000,9.0000,6.0000,0.0000,0.0000,99.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0000,0.0000,99.0000,99.0000,0.0000,9.0000,2.0000,9.0000,0.0000,0.0000,0.0000,99.0000,8.0000,12.0000,0.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,17.0000,9.0000,0.0000,3.0000,0.0000,250341.0000,0.0000,99999.0000,9999.0000,999,999,99,000000000,9,00000000000,999.0000,9999.0000,9999.0000,9999.0000,9999.0000,9.0000,4.0000,0.0000,99.0000,9.0000,9.0000,9.0000,9.0000,9.0000,9.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,0.0000,0.0000,0.0000,0.0000,999.0000,999.0000,9999.0000,9999.0000,99999.0000,12.0000,14.0000,99.0000,0.0000,1.0000
3N1CB51AX2L5,3,N,1,C,B,5,1,A,X,2,L,5,25.0000,3.0000,0.0000,35.0000,4.0000,25.0000,6.0000,0.0000,0.0000,99.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,99.0000,99.0000,0.0000,9.0000,2.0000,9.0000,0.0000,0.0000,0.0000,99.0000,8.0000,12.0000,0.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,17.0000,0.0000,0.0000,2.0000,0.0000,250349.0000,0.0000,35043.0000,2002.0000,USG,***,4D,000000000,*,00000000000,43.0000,998.0000,0.0000,,2509.0000,,4.0000,0.0000,99.0000,9.0000,9.0000,9.0000,9.0000,9.0000,9.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,0.0000,0.0000,0.0000,0.0000,999.0000,999.0000,9999.0000,9999.0000,99999.0000,8.0000,30.0000,0.0000,0.0000,2.0000
4A3AA36G6YE0,4,A,3,A,A,3,6,G,6,Y,E,0,25.0000,4.0000,0.0000,52.0000,4.0000,25.0000,6.0000,0.0000,0.0000,99.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.0000,11.0000,0.0000,6.0000,2.0000,9.0000,0.0000,0.0000,0.0000,99.0000,8.0000,12.0000,0.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,17.0000,0.0000,0.0000,2.0000,0.0000,250349.0000,0.0000,52034.0000,2000.0000,UGD,***,4D,000000000,*,00000000000,34.0000,1037.0000,0.0000,,2976.0000,,4.0000,0.0000,99.0000,9.0000,9.0000,9.0000,9.0000,9.0000,9.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,0.0000,0.0000,0.0000,0.0000,999.0000,999.0000,9999.0000,9999.0000,99999.0000,8.0000,30.0000,0.0000,0.0000,2.0000
WBAAV53491FJ,W,B,A,A,V,5,3,4,9,1,F,J,25.0000,5.0000,0.0000,34.0000,4.0000,25.0000,6.0000,0.0000,0.0000,99.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,99.0000,99.0000,0.0000,9.0000,2.0000,9.0000,0.0000,0.0000,0.0000,99.0000,8.0000,12.0000,0.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,17.0000,0.0000,0.0000,2.0000,0.0000,250349.0000,0.0000,34034.0000,2001.0000,30I,***,4D,000000000,*,00000000000,34.0000,1073.0000,0.0000,,3318.0000,,4.0000,0.0000,99.0000,9.0000,9.0000,9.0000,9.0000,9.0000,9.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,0.0000,0.0000,0.0000,0.0000,999.0000,999.0000,9999.0000,9999.0000,99999.0000,8.0000,30.0000,0.0000,0.0000,2.0000
999999999999,9,9,9,9,9,9,9,9,9,9,9,9,25.0000,2.0000,1.0000,23.0000,15.0000,33.0000,6.0000,0.0000,0.0000,99.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.0000,6.0000,0.0000,6.0000,2.0000,9.0000,0.0000,0.0000,0.0000,99.0000,8.0000,14.0000,0.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,17.0000,0.0000,0.0000,3.0000,0.0000,250352.0000,0.0000,23421.0000,2007.0000,999,999,99,000000000,9,00000000000,421.0000,9999.0000,9999.0000,9999.0000,9999.0000,9.0000,4.0000,0.0000,99.0000,9.0000,9.0000,9.0000,9.0000,9.0000,9.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,0.0000,0.0000,0.0000,0.0000,999.0000,999.0000,9999.0000,9999.0000,99999.0000,6.0000,8.0000,0.0000,0.0000,1.0000
2G2WP5522711,2,G,2,W,P,5,5,2,2,7,1,1,25.0000,1.0000,1.0000,22.0000,4.0000,25.0000,6.0000,0.0000,0.0000,99.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0000,9.0000,0.0000,2.0000,2.0000,9.0000,0.0000,0.0000,0.0000,99.0000,8.0000,12.0000,0.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,17.0000,0.0000,0.0000,2.0000,0.0000,250402.0000,0.0000,22020.0000,2007.0000,GRA,***,4D,000000000,*,00000000000,20.0000,1105.0000,0.0000,,3477.0000,,4.0000,0.0000,99.0000,9.0000,9.0000,9.0000,9.0000,9.0000,9.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,0.0000,0.0000,0.0000,0.0000,999.0000,999.0000,9999.0000,9999.0000,99999.0000,10.0000,14.0000,7.0000,0.0000,1.0000
1FTJE34F5VHA,1,F,T,J,E,3,4,F,5,V,H,A,26.0000,2.0000,3.0000,12.0000,21.0000,26.0000,6.0000,0.0000,0.0000,99.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.0000,6.0000,0.0000,6.0000,2.0000,9.0000,0.0000,0.0000,0.0000,99.0000,8.0000,12.0000,1.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,17.0000,0.0000,0.0000,3.0000,0.0000,260008.0000,0.0000,12461.0000,1997.0000,35V,VAN,CG,000000000,D,00000000000,461.0000,1380.0000,0.0000,,,2.0000,4.0000,0.0000,99.0000,9.0000,9.0000,9.0000,9.0000,9.0000,9.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,0.0000,0.0000,0.0000,0.0000,999.0000,999.0000,9999.0000,9999.0000,99999.0000,1.0000,25.0000,0.0000,3.0000,1.0000
2C3EL56T2PH5,2,C,3,E,L,5,6,T,2,P,H,5,26.0000,2.0000,0.0000,6.0000,4.0000,26.0000,6.0000,0.0000,0.0000,99.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.0000,6.0000,0.0000,6.0000,2.0000,9.0000,0.0000,0.0000,0.0000,99.0000,8.0000,12.0000,0.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,17.0000,0.0000,0.0000,2.0000,0.0000,260126.0000,0.0000,6041.0000,1993.0000,CND,***,4D,000000000,*,00000000000,41.0000,1130.0000,0.0000,,3235.0000,,4.0000,0.0000,99.0000,9.0000,9.0000,9.0000,9.0000,9.0000,9.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,0.0000,0.0000,0.0000,0.0000,999.0000,999.0000,9999.0000,9999.0000,99999.0000,3.0000,25.0000,0.0000,0.0000,1.0000
1GCEK19T42E1,1,G,C,E,K,1,9,T,4,2,E,1,26.0000,1.0000,0.0000,20.0000,31.0000,26.0000,6.0000,0.0000,0.0000,99.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000,5.0000,0.0000,2.0000,2.0000,9.0000,0.0000,0.0000,0.0000,99.0000,8.0000,17.0000,0.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,17.0000,0.0000,0.0000,3.0000,0.0000,260199.0000,0.0000,20481.0000,2002.0000,SK1,SIL,4C,000000000,G,00000000000,481.0000,1435.0000,1575.0000,,,2.0000,4.0000,0.0000,99.0000,9.0000,9.0000,9.0000,9.0000,9.0000,9.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,0.0000,0.0000,0.0000,0.0000,999.0000,999.0000,9999.0000,9999.0000,99999.0000,5.0000,1.0000,0.0000,0.0000,1.0000
1HTSCABM1VH4,1,H,T,S,C,A,B,M,1,V,H,4,26.0000,2.0000,0.0000,84.0000,62.0000,26.0000,6.0000,0.0000,0.0000,99.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,2.0000,96.0000,0.0000,0.0000,5.0000,5.0000,0.0000,4.0000,2.0000,9.0000,0.0000,0.0000,0.0000,99.0000,8.0000,8.0000,0.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,17.0000,0.0000,2.0000,2.0000,57.0000,260253.0000,0.0000,84881.0000,1997.0000,470,40S,CC,881181,D,57881181,881.0000,1280.0000,2540.0000,,,6.0000,4.0000,0.0000,99.0000,9.0000,9.0000,9.0000,9.0000,9.0000,9.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,0.0000,0.0000,0.0000,0.0000,999.0000,999.0000,9999.0000,9999.0000,99999.0000,4.0000,14.0000,1.0000,0.0000,1.0000
